model,feature_set,model_label,model_feature,policy,region,validation_threshold,validation_precision,validation_recall,validation_f1,validation_false_positive,validation_false_negative,validation_true_positive,validation_true_negative
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,all,0.54,0.25103734439834025,0.39285714285714285,0.30632911392405066,361.0,187.0,121.0,3279.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,all,0.6,0.2721518987341772,0.2792207792207792,0.27564102564102566,230.0,222.0,86.0,3410.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,all,0.09999999999999999,0.10017331022530329,0.9383116883116883,0.18102098340119008,2596.0,19.0,289.0,1044.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,Central,0.13,0.003937007874015748,1.0,0.00784313725490196,253.0,0.0,1.0,454.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,East,0.59,0.2222222222222222,0.4,0.2857142857142857,35.0,15.0,10.0,348.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,North,0.32,0.19777777777777777,0.7876106194690266,0.31616341030195383,361.0,24.0,89.0,402.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,Northeast,0.39,0.27364864864864863,0.75,0.4009900990099009,215.0,27.0,81.0,709.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,South,0.52,0.46511627906976744,0.40816326530612246,0.43478260869565216,23.0,29.0,20.0,656.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,region_f1_exploratory,West,0.22,0.3333333333333333,0.4166666666666667,0.3703703703703704,10.0,7.0,5.0,174.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,all,0.4,0.2296211251435132,0.6493506493506493,0.3392705682782019,671.0,108.0,200.0,2969.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,all,0.5800000000000001,0.27699530516431925,0.38311688311688313,0.3215258855585831,308.0,190.0,118.0,3332.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,all,0.62,0.28,0.29545454545454547,0.2875197472353871,234.0,217.0,91.0,3406.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,all,0.11,0.10274705672493757,0.935064935064935,0.18514946962391515,2515.0,20.0,288.0,1125.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,Central,0.13,0.0035842293906810036,1.0,0.0071428571428571435,278.0,0.0,1.0,429.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,East,0.45,0.1702127659574468,0.64,0.2689075630252101,78.0,9.0,16.0,305.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,North,0.39,0.20558375634517767,0.7168141592920354,0.3195266272189349,313.0,32.0,81.0,450.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,Northeast,0.45,0.2727272727272727,0.7222222222222222,0.39593908629441626,208.0,30.0,78.0,716.0
