split,years,rows,positive_rows,positive_rate,provinces,regions,label_observed_rows,label_observed_rate
train,2017|2018|2019,12004,176.0,0.014661779406864379,77,6,5467,0.45543152282572474
validation,2020,4004,467.0,0.11663336663336664,77,6,3850,0.9615384615384616
test,2021,3948,308.0,0.07801418439716312,77,6,3717,0.9414893617021277
feature_only_2015,2015,4081,,,77,6,0,0.0
