model,previous_split,new_split,previous_test_year,new_test_year,previous_f1,new_f1,f1_delta_new_minus_previous,previous_precision,new_precision,previous_recall,new_recall,previous_roc_auc,new_roc_auc,previous_pr_auc,new_pr_auc,previous_false_positive,new_false_positive,previous_false_negative,new_false_negative,interpretation
dnn_class_weight_core_no_BUS,train_2017_2019_val_2020_test_2021,train_2017_2020_val_2021_test_2022,2021,2022,0.3083700440528634,0.3241758241758242,0.0158057801229608,0.2815013404825737,0.29064039408866993,0.3409090909090909,0.36645962732919257,0.6730421364349936,0.7789802544919132,0.2048272688597139,0.24497270413073738,268,144,203,102,"Both rows use corrected labels; test years differ, so this is forward-split comparison, not same-test ablation."
random_forest_core_no_BUS,train_2017_2019_val_2020_test_2021,train_2017_2020_val_2021_test_2022,2021,2022,0.2705167173252279,0.3432343234323432,0.0727176061071153,0.2542857142857143,0.36619718309859156,0.288961038961039,0.32298136645962733,0.6898200014271443,0.7886243116871361,0.1870683786235612,0.24073598690125192,261,90,219,109,"Both rows use corrected labels; test years differ, so this is forward-split comparison, not same-test ablation."
dnn_no_class_weight_core_no_BUS,train_2017_2019_val_2020_test_2021,train_2017_2020_val_2021_test_2022,2021,2022,0.267156862745098,0.35051546391752575,0.08335860117242777,0.2145669291338582,0.3923076923076923,0.3538961038961039,0.3167701863354037,0.706689738832596,0.7817601737772799,0.2212613750287417,0.2903871400135668,399,79,199,110,"Both rows use corrected labels; test years differ, so this is forward-split comparison, not same-test ablation."
xgboost_core_no_BUS,train_2017_2019_val_2020_test_2021,train_2017_2020_val_2021_test_2022,2021,2022,0.2318181818181818,0.2913165266106443,0.059498344792462465,0.1783216783216783,0.2653061224489796,0.3311688311688311,0.32298136645962733,0.6672902989867275,0.7755247501709165,0.1763732838321468,0.2523368353803849,470,144,206,109,"Both rows use corrected labels; test years differ, so this is forward-split comparison, not same-test ablation."
