province,datetime,week,y_score,top5_analog_provinces,analog_prevweek_blast,analog_prevweek_risk,analog_2w_pressure,analog_host_pressure,analog_leaf_wet_pressure,analog_outbreak_frequency_train
Lamphun,2022-10-30,43.0,0.0056062922812998,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,23.50480333007437,53.38802870677961,29.804875869629136,34.08644490391483,0.0249600786587135
Lamphun,2022-11-06,44.0,0.0027114900294691,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,29.707515085100752,50.93646646964582,21.228951384545073,21.523784174784787,0.0249600786587135
Lamphun,2022-11-13,45.0,0.0040672975592315,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,21.228951384545073,36.85223077855601,15.62327939401094,8.233446562959674,0.0249600786587135
Lamphun,2022-11-27,47.0,0.0097469603642821,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,31.713808728969795,66.65411122822589,34.94030249925609,40.484269101070076,0.0249600786587135
Lamphun,2022-12-04,48.0,0.0118538690730929,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,34.94030249925609,70.5798757976083,35.639573298352204,45.649128110342055,0.0249600786587135
Lamphun,2022-12-11,49.0,0.0046892208047211,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,35.639573298352204,61.64978426537252,26.010210967020306,31.330493148024743,0.0249600786587135
Lamphun,2022-12-18,50.0,0.0063056042417883,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,26.010210967020306,37.21540457110066,11.20519360408035,8.771330416817186,0.0249600786587135
Lamphun,2022-12-25,51.0,0.006274476647377,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,0.0,11.20519360408035,18.696557035167988,7.491363431087632,2.0039585677045517,0.0249600786587135
Nakhon Sawan,2022-01-30,4.0,0.0022289927583187,Phetchabun|Kamphaeng Phet|Phichit|Phitsanulok|Uthai Thani,0.0,15.994141973017864,24.825563108904756,8.533539199141043,5.5353592123149244,0.01772405198065319
Nan,2022-05-01,17.0,0.003202409017831,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,11.77474353078523,19.479675136863197,7.4845780834417175,6.734035315339698,0.021848913091683412
Nan,2022-07-24,29.0,0.0030092673841863,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,38.61993521292195,77.1469633834891,37.85774234440298,44.541914944365445,0.021848913091683412
Nan,2022-07-31,30.0,0.003517652163282,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,37.19647270923803,60.93929575519923,23.081553410796257,25.543944611475276,0.021848913091683412
Nan,2022-08-07,31.0,0.0185364633798599,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,22.67947716966319,60.25059961945511,37.169072166921566,45.5153774623307,0.021848913091683412
Nan,2022-08-14,32.0,0.0125868627801537,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,36.48742746212658,84.2672997679791,47.09822760105752,60.95558951949565,0.021848913091683412
Nan,2022-08-21,33.0,0.013222025707364,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,46.2722419553608,86.43444361504707,39.33621601398956,46.69118078557746,0.021848913091683412
Nan,2022-08-28,34.0,0.0227075852453708,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.0,38.61834226895964,80.34392056474141,41.00770455075185,54.55785572618897,0.021848913091683412
Phichit,2022-03-13,10.0,0.0062836110591888,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani,0.0,13.203710186011772,27.874329739295682,14.331602558269914,9.636331330531943,0.025571999179142327
Phichit,2022-04-24,16.0,0.0027161799371242,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani,0.0,3.9320246378913204,21.688628569957725,17.728148515509048,11.480300874160754,0.025571999179142327
