project_province,boundary_province_raw,normalized_project_name,normalized_boundary_name,match_status,match_method,candidate_boundary_file,notes
Surin,,surin,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Tak,,tak,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Trang,,trang,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Trat,,trat,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Ubon Ratchathani,,ubonratchathani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Udon Thani,,udonthani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Uthai Thani,,uthaithani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Uttaradit,,uttaradit,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Yala,,yala,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Yasothon,,yasothon,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
