feature_group,feature,north_positive_mean,northeast_positive_mean,north_minus_northeast,north_positive_median,northeast_positive_median,north_positive_rows,northeast_positive_rows
weather_moisture,humidity_mean,75.30383669046358,77.22222030975583,-1.9183836192922428,75.80541666666667,78.12464285714287,18,120
weather_moisture,temperature_mean,27.059262817721375,27.074390262795827,-0.015127445074451629,27.247773468361707,27.34234298982751,18,120
weather_moisture,rainfall_sum,29.605,36.77883333333333,-7.173833333333331,14.420000000000002,22.08,18,120
weather_moisture,leaf_wet_hours,27.77777777777778,36.75833333333333,-8.980555555555554,32.5,32.0,18,120
weather_moisture,leaf_wet_ratio,0.20941166813278395,0.2569772688112394,-0.047565600678455444,0.194047619047619,0.22706766917293225,18,120
weather_moisture,risk_score,25.283703838678182,29.43533075181961,-4.151626913141428,23.205357142857146,26.084687973550075,18,120
weather_moisture,rolling_2w_risk,51.76696570837161,59.24843450646943,-7.481468798097822,49.389527845036326,56.246286823616416,18,120
weather_moisture,rolling_3w_risk,77.17884998243179,89.14768163545288,-11.968831653021098,71.27200955232394,94.56144957983193,18,120
weather_moisture,rolling_2w_leaf_wet_hours,58.55555555555556,73.88333333333334,-15.327777777777783,65.5,62.0,18,120
weather_moisture,rolling_3w_leaf_wet_hours,88.27777777777777,110.93333333333334,-22.655555555555566,103.5,94.5,18,120
host_pov,susceptibility_score,0.5033673749431049,0.5575267947354028,-0.05415941979229788,0.5021529721057916,0.5379421736193566,18,120
host_pov,host_weighted_risk,25.362985884389392,31.837706372299838,-6.474720487910446,23.248457942879924,29.435568874605522,18,120
host_pov,host_weighted_rolling_2w,51.914916275383185,63.98319340356931,-12.068277128186125,49.4747894448599,60.452949795531815,18,120
host_pov,host_weighted_rolling_3w,77.39097603007538,96.19080576411933,-18.799829734043954,71.27200955232394,97.1785714285714,18,120
host_pov,total_pov_area,57852.8,247058.2435897436,-189205.44358974358,63888.0,48535.0,10,78
host_pov,pov_variety_count,5.4,7.935897435897436,-2.5358974358974358,5.0,7.0,10,78
spatial_regional,neighbor_prevweek_blast,0.0,0.10833333333333332,-0.10833333333333332,0.0,0.0,18,120
spatial_regional,neighbor_prevweek_risk,29.219100852569973,30.340692995392423,-1.1215921428224505,30.16844193817878,30.56693900465906,18,120
spatial_regional,regional_neighbor_pressure_2w,0.02156862745098038,0.11987499999999988,-0.0983063725490195,0.02352941176470585,0.12,18,120
spatial_regional,regional_neighbor_pressure_3w,0.020043572984749444,0.11474999999999994,-0.09470642701525049,0.0156862745098039,0.0966666666666666,18,120
spatial_regional,regional_host_pressure,0.5130553794937758,0.5349682370806454,-0.021912857586869672,0.5150481688151204,0.5323231366200532,18,120
spatial_regional,regional_wind_alignment_frequency,0.002614379084967311,0.027,-0.02438562091503269,0.0,0.02,18,120
spatial_regional,wind_aligned_neighbor_blast,0.0,0.025000000000000005,-0.025000000000000005,0.0,0.0,18,120
analog,analog_prevweek_blast,0.0,0.25103797503008274,-0.25103797503008274,0.0,0.20053565496583176,18,120
analog,analog_outbreak_frequency_train,0.023416170625023873,0.09386186240264488,-0.070445691777621,0.0249600786587135,0.10002747150916533,18,120
analog,analog_prevweek_risk,26.596048666854184,31.18535698440492,-4.589308317550735,27.85886302606053,31.36357543727099,18,120
analog,analog_2w_pressure,52.17906545074384,66.190264896424,-14.011199445680155,56.819314163117355,66.14200413623024,18,120
analog,analog_leaf_wet_pressure,27.959708042633267,40.764463484047454,-12.804755441414187,28.43721887975001,38.415225710807704,18,120
analog,analog_regional_leaf_wet_pressure,94.20715975241802,97.91205684034847,-3.7048970879304477,103.11764705882352,88.90000000000002,18,120
analog,analog_host_pressure,25.309563049570176,33.024803567509444,-7.715240517939268,24.54588218890828,34.723430615686446,18,120
