model,feature_set,feature,importance
random_forest_core_no_BUS,core_no_BUS,province_Uttaradit,0.00025269383727415015
random_forest_core_no_BUS,core_no_BUS,province_Kamphaeng Phet,0.0002479265679940579
random_forest_core_no_BUS,core_no_BUS,province_Phatthalung,0.00024619873539487004
random_forest_core_no_BUS,core_no_BUS,province_Suphan Buri,0.00024511341615672983
random_forest_core_no_BUS,core_no_BUS,province_Kalasin,0.0002446021273837498
random_forest_core_no_BUS,core_no_BUS,province_Roi Et,0.00023639203951510984
random_forest_core_no_BUS,core_no_BUS,province_Chiang Rai,0.0002265061034890803
random_forest_core_no_BUS,core_no_BUS,province_Phra Nakhon Si Ayutthaya,0.00022418608487306048
random_forest_core_no_BUS,core_no_BUS,province_Sakon Nakhon,0.0002181213920158652
random_forest_core_no_BUS,core_no_BUS,province_Bangkok,0.00021338612757883344
random_forest_core_no_BUS,core_no_BUS,province_Phayao,0.00020126954508415513
random_forest_core_no_BUS,core_no_BUS,province_Sing Buri,0.0001966983001056369
random_forest_core_no_BUS,core_no_BUS,province_Yasothon,0.00019113217617809433
random_forest_core_no_BUS,core_no_BUS,province_Bueng Kan,0.00016767566969388267
random_forest_core_no_BUS,core_no_BUS,province_Prachuap Khiri Khan,0.0001402950175156355
random_forest_core_no_BUS,core_no_BUS,province_Chon Buri,0.00013584886203447849
random_forest_core_no_BUS,core_no_BUS,province_Krabi,0.00013454858232698547
random_forest_core_no_BUS,core_no_BUS,province_Samut Sakhon,0.00013126712151772098
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Nayok,0.00010709452355934807
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Ratchasima,0.00010341209921732699
random_forest_core_no_BUS,core_no_BUS,province_Phang-nga,0.00010006009559114242
random_forest_core_no_BUS,core_no_BUS,province_Satun,8.65003836744865e-05
random_forest_core_no_BUS,core_no_BUS,province_Khon Kaen,8.63064547853057e-05
random_forest_core_no_BUS,core_no_BUS,province_Lamphun,8.031151635321664e-05
random_forest_core_no_BUS,core_no_BUS,province_Trat,7.947102723378884e-05
random_forest_core_no_BUS,core_no_BUS,province_Yala,7.578272485510765e-05
random_forest_core_no_BUS,core_no_BUS,province_Sa kaeo,7.367934124934317e-05
random_forest_core_no_BUS,core_no_BUS,province_Ranong,7.282846599309371e-05
random_forest_core_no_BUS,core_no_BUS,province_Buri Ram,6.589759498099748e-05
random_forest_core_no_BUS,core_no_BUS,province_Chumphon,5.658117247956537e-05
random_forest_core_no_BUS,core_no_BUS,province_Ratchaburi,4.399098536715564e-05
random_forest_core_no_BUS,core_no_BUS,province_Pathum Thani,3.382013435694993e-05
random_forest_core_no_BUS,core_no_BUS,province_Udon Thani,3.134116711744672e-05
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Phanom,2.502986634088665e-05
random_forest_core_no_BUS,core_no_BUS,province_Chachoengsao,2.4495658312592202e-05
random_forest_core_no_BUS,core_no_BUS,province_Samut Prakarn,2.4207785046692716e-05
random_forest_core_no_BUS,core_no_BUS,province_Chai Nat,2.257055856519984e-05
random_forest_core_no_BUS,core_no_BUS,province_Trang,2.2469815210971086e-05
random_forest_core_no_BUS,core_no_BUS,province_Nong Khai,1.9099922341173287e-05
random_forest_core_no_BUS,core_no_BUS,province_Pattani,1.6946902299548646e-05
random_forest_core_no_BUS,core_no_BUS,province_Samut Songkhram,1.3965053236865207e-05
random_forest_core_no_BUS,core_no_BUS,province_Phuket,1.1648915847728514e-05
random_forest_core_no_BUS,core_no_BUS,province_Lop Buri,1.1297121621342196e-05
random_forest_core_no_BUS,core_no_BUS,province_Narathiwat,1.1027639964745229e-05
random_forest_core_no_BUS,core_no_BUS,province_Phetchaburi,1.0869823581690204e-05
random_forest_core_no_BUS,core_no_BUS,province_Loei,1.076249618536728e-05
random_forest_core_no_BUS,core_no_BUS,province_Kanchanaburi,6.573055084815064e-06
random_forest_core_no_BUS,core_no_BUS,province_Amnat Charoen,5.33025260377119e-06
random_forest_core_no_BUS,core_no_BUS,province_Nong Bua Lam Phu,1.4048607814535785e-06
xgboost_core_no_BUS,core_no_BUS,regional_neighbor_pressure_3w,0.07753726840019226
xgboost_core_no_BUS,core_no_BUS,regional_wind_alignment_frequency,0.06371429562568665
xgboost_core_no_BUS,core_no_BUS,region_Northeast,0.03202303871512413
xgboost_core_no_BUS,core_no_BUS,regional_neighbor_pressure_2w,0.029962748289108276
xgboost_core_no_BUS,core_no_BUS,region_South,0.028093798086047173
xgboost_core_no_BUS,core_no_BUS,regional_host_pressure,0.028090136125683784
xgboost_core_no_BUS,core_no_BUS,province_Ang Thong,0.022802237421274185
xgboost_core_no_BUS,core_no_BUS,total_pov_area,0.022541837766766548
xgboost_core_no_BUS,core_no_BUS,wind_aligned_neighbor_count,0.02079915814101696
xgboost_core_no_BUS,core_no_BUS,province_Tak,0.020594066008925438
xgboost_core_no_BUS,core_no_BUS,province_Si Sa Ket,0.020222051069140434
xgboost_core_no_BUS,core_no_BUS,province_Phrae,0.01927315816283226
xgboost_core_no_BUS,core_no_BUS,susceptibility_score,0.01815303973853588
xgboost_core_no_BUS,core_no_BUS,province_Songkhla,0.01815127767622471
xgboost_core_no_BUS,core_no_BUS,province_Rayong,0.017940642312169075
xgboost_core_no_BUS,core_no_BUS,region_Central,0.01745963841676712
xgboost_core_no_BUS,core_no_BUS,regional_leaf_wet_accumulation,0.017221858724951744
xgboost_core_no_BUS,core_no_BUS,week_cos,0.016979625448584557
xgboost_core_no_BUS,core_no_BUS,pov_variety_count,0.016410211101174355
xgboost_core_no_BUS,core_no_BUS,prevailing_wind_direction,0.01619313843548298
xgboost_core_no_BUS,core_no_BUS,province_Prachin Buri,0.016091519966721535
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Si Thammarat,0.015822408720850945
xgboost_core_no_BUS,core_no_BUS,wind_direction_variability,0.015499720349907875
xgboost_core_no_BUS,core_no_BUS,leaf_wet_hours,0.014946996234357357
xgboost_core_no_BUS,core_no_BUS,mean_wind_gust,0.014412911608815193
xgboost_core_no_BUS,core_no_BUS,week_sin,0.013445118442177773
xgboost_core_no_BUS,core_no_BUS,temperature_mean,0.012838040478527546
xgboost_core_no_BUS,core_no_BUS,region_West,0.012690123170614243
xgboost_core_no_BUS,core_no_BUS,risk_score,0.01252701971679926
xgboost_core_no_BUS,core_no_BUS,host_weighted_rolling_2w,0.012373235076665878
xgboost_core_no_BUS,core_no_BUS,rolling_2w_leaf_wet_hours,0.012329733930528164
xgboost_core_no_BUS,core_no_BUS,leaf_wet_ratio,0.012174283154308796
xgboost_core_no_BUS,core_no_BUS,mean_wind_speed,0.011821120046079159
xgboost_core_no_BUS,core_no_BUS,rolling_3w_leaf_wet_hours,0.011369016021490097
xgboost_core_no_BUS,core_no_BUS,neighbor_prevweek_risk,0.011367328464984894
xgboost_core_no_BUS,core_no_BUS,province_Sukhothai,0.01133380364626646
xgboost_core_no_BUS,core_no_BUS,spatial_host_weather_risk,0.011062510311603546
xgboost_core_no_BUS,core_no_BUS,province_Chanthaburi,0.01066648494452238
xgboost_core_no_BUS,core_no_BUS,max_wind_speed,0.009974787011742592
xgboost_core_no_BUS,core_no_BUS,province_Sing Buri,0.009525970555841923
xgboost_core_no_BUS,core_no_BUS,host_weighted_risk,0.009265942499041557
xgboost_core_no_BUS,core_no_BUS,region_East,0.009224343113601208
xgboost_core_no_BUS,core_no_BUS,province_Mukdahan,0.00910501554608345
xgboost_core_no_BUS,core_no_BUS,leaf_wet_wind_hours,0.009037401527166367
xgboost_core_no_BUS,core_no_BUS,rainfall_sum,0.008973944932222366
xgboost_core_no_BUS,core_no_BUS,host_weighted_rolling_3w,0.008937147445976734
xgboost_core_no_BUS,core_no_BUS,region_North,0.008797728456556797
xgboost_core_no_BUS,core_no_BUS,rolling_3w_risk,0.008675615303218365
xgboost_core_no_BUS,core_no_BUS,province_Phetchabun,0.008507775142788887
xgboost_core_no_BUS,core_no_BUS,province_Roi Et,0.007979444228112698
xgboost_core_no_BUS,core_no_BUS,province_Phitsanulok,0.007828236557543278
xgboost_core_no_BUS,core_no_BUS,rolling_2w_risk,0.00758421840146184
xgboost_core_no_BUS,core_no_BUS,humidity_mean,0.007531590294092894
xgboost_core_no_BUS,core_no_BUS,province_Uthai Thani,0.007459329441189766
xgboost_core_no_BUS,core_no_BUS,province_Uttaradit,0.007262781262397766
xgboost_core_no_BUS,core_no_BUS,humid_wind_hours,0.007230627816170454
xgboost_core_no_BUS,core_no_BUS,province_Phayao,0.007136060390621424
xgboost_core_no_BUS,core_no_BUS,province_Chon Buri,0.007083510514348745
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Nayok,0.006884799338877201
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Sawan,0.006822030059993267
xgboost_core_no_BUS,core_no_BUS,province_Khon Kaen,0.006576343439519405
xgboost_core_no_BUS,core_no_BUS,province_Udon Thani,0.0065185497514903545
xgboost_core_no_BUS,core_no_BUS,province_Chachoengsao,0.006325251422822475
xgboost_core_no_BUS,core_no_BUS,province_Phichit,0.006303627975285053
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Ratchasima,0.006151518318802118
xgboost_core_no_BUS,core_no_BUS,province_Kamphaeng Phet,0.006138216704130173
xgboost_core_no_BUS,core_no_BUS,province_Surin,0.006113667972385883
xgboost_core_no_BUS,core_no_BUS,province_Lampang,0.005966197699308395
xgboost_core_no_BUS,core_no_BUS,province_Saraburi,0.005559667479246855
xgboost_core_no_BUS,core_no_BUS,province_Chaiyaphum,0.004374100361019373
xgboost_core_no_BUS,core_no_BUS,neighbor_prevweek_blast,0.002209929982200265
xgboost_core_no_BUS,core_no_BUS,wind_aligned_neighbor_blast,0.0
xgboost_core_no_BUS,core_no_BUS,province_Amnat Charoen,0.0
xgboost_core_no_BUS,core_no_BUS,province_Bangkok,0.0
xgboost_core_no_BUS,core_no_BUS,province_Bueng Kan,0.0
xgboost_core_no_BUS,core_no_BUS,province_Buri Ram,0.0
xgboost_core_no_BUS,core_no_BUS,province_Chai Nat,0.0
xgboost_core_no_BUS,core_no_BUS,province_Chiang Mai,0.0
xgboost_core_no_BUS,core_no_BUS,province_Chiang Rai,0.0
xgboost_core_no_BUS,core_no_BUS,province_Chumphon,0.0
xgboost_core_no_BUS,core_no_BUS,province_Kalasin,0.0
xgboost_core_no_BUS,core_no_BUS,province_Kanchanaburi,0.0
xgboost_core_no_BUS,core_no_BUS,province_Krabi,0.0
xgboost_core_no_BUS,core_no_BUS,province_Lamphun,0.0
xgboost_core_no_BUS,core_no_BUS,province_Loei,0.0
xgboost_core_no_BUS,core_no_BUS,province_Lop Buri,0.0
xgboost_core_no_BUS,core_no_BUS,province_Mae Hong Son,0.0
xgboost_core_no_BUS,core_no_BUS,province_Maha Sarakham,0.0
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Pathom,0.0
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Phanom,0.0
xgboost_core_no_BUS,core_no_BUS,province_Nan,0.0
xgboost_core_no_BUS,core_no_BUS,province_Narathiwat,0.0
xgboost_core_no_BUS,core_no_BUS,province_Nong Bua Lam Phu,0.0
xgboost_core_no_BUS,core_no_BUS,province_Nong Khai,0.0
