grouping,rows,bus_rows,bus_missing_rows,bus_missing_rate,bus_critical_weeks,target_known_rows,target_positive_rows,bus_rows_with_target,bus_rows_target_positive,current_label_positive_in_bus_rows,year,region,province
province,367,0,367,1.0,0,308,47,0,0,0,,,Uthai Thani
province,371,0,371,1.0,0,312,9,0,0,0,,,Uttaradit
province,371,0,371,1.0,0,312,1,0,0,0,,,Yala
province,371,0,371,1.0,0,312,23,0,0,0,,,Yasothon
year_region,742,0,742,1.0,0,0,0,0,0,0,2015.0,Central,
year_region,424,0,424,1.0,0,0,0,0,0,0,2015.0,East,
year_region,901,0,901,1.0,0,0,0,0,0,0,2015.0,North,
year_region,1060,0,1060,1.0,0,0,0,0,0,0,2015.0,Northeast,
year_region,742,0,742,1.0,0,0,0,0,0,0,2015.0,South,
year_region,212,0,212,1.0,0,0,0,0,0,0,2015.0,West,
year_region,742,0,742,1.0,0,728,0,0,0,0,2016.0,Central,
year_region,424,0,424,1.0,0,416,0,0,0,0,2016.0,East,
year_region,901,0,901,1.0,0,884,1,0,0,0,2016.0,North,
year_region,1060,0,1060,1.0,0,1040,0,0,0,0,2016.0,Northeast,
year_region,742,0,742,1.0,0,728,0,0,0,0,2016.0,South,
year_region,212,0,212,1.0,0,208,0,0,0,0,2016.0,West,
year_region,742,0,742,1.0,0,728,5,0,0,0,2017.0,Central,
year_region,424,0,424,1.0,0,416,2,0,0,0,2017.0,East,
year_region,901,0,901,1.0,0,884,13,0,0,0,2017.0,North,
year_region,1056,0,1056,1.0,0,1036,12,0,0,0,2017.0,Northeast,
year_region,742,0,742,1.0,0,728,0,0,0,0,2017.0,South,
year_region,212,0,212,1.0,0,208,0,0,0,0,2017.0,West,
year_region,742,0,742,1.0,0,728,1,0,0,0,2018.0,Central,
year_region,424,0,424,1.0,0,416,8,0,0,0,2018.0,East,
year_region,901,0,901,1.0,0,884,7,0,0,0,2018.0,North,
year_region,1056,0,1056,1.0,0,1036,12,0,0,0,2018.0,Northeast,
year_region,742,0,742,1.0,0,728,0,0,0,0,2018.0,South,
year_region,212,0,212,1.0,0,208,0,0,0,0,2018.0,West,
year_region,742,0,742,1.0,0,728,4,0,0,0,2019.0,Central,
year_region,424,0,424,1.0,0,416,7,0,0,0,2019.0,East,
year_region,901,0,901,1.0,0,884,43,0,0,0,2019.0,North,
year_region,1060,0,1060,1.0,0,1040,34,0,0,0,2019.0,Northeast,
year_region,742,0,742,1.0,0,728,28,0,0,0,2019.0,South,
year_region,212,0,212,1.0,0,208,0,0,0,0,2019.0,West,
year_region,742,55,687,0.9258760107816711,5,728,38,55,5,6,2020.0,Central,
