grouping,rows,bus_rows,bus_missing_rows,bus_missing_rate,bus_critical_weeks,target_known_rows,target_positive_rows,bus_rows_with_target,bus_rows_target_positive,current_label_positive_in_bus_rows,year,region,province
year_province,53,0,53,1.0,0,52,1,0,0,0,2017.0,,Surin
year_province,53,0,53,1.0,0,52,1,0,0,0,2017.0,,Tak
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Trang
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Trat
year_province,53,0,53,1.0,0,52,3,0,0,0,2017.0,,Ubon Ratchathani
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Udon Thani
year_province,53,0,53,1.0,0,52,5,0,0,0,2017.0,,Uthai Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Uttaradit
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Yala
year_province,53,0,53,1.0,0,52,0,0,0,0,2017.0,,Yasothon
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Amnat Charoen
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Ang Thong
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Bangkok
year_province,49,0,49,1.0,0,48,0,0,0,0,2018.0,,Bueng Kan
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Buri Ram
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chachoengsao
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chai Nat
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chaiyaphum
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chanthaburi
year_province,53,0,53,1.0,0,52,2,0,0,0,2018.0,,Chiang Mai
year_province,53,0,53,1.0,0,52,1,0,0,0,2018.0,,Chiang Rai
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chon Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Chumphon
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Kalasin
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Kamphaeng Phet
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Kanchanaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Khon Kaen
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Krabi
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Lampang
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Lamphun
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Loei
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Lop Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Mae Hong Son
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Maha Sarakham
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Mukdahan
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nakhon Nayok
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nakhon Phanom
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nakhon Ratchasima
year_province,53,0,53,1.0,0,52,1,0,0,0,2018.0,,Nakhon Sawan
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nan
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Narathiwat
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nong Khai
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Nonthaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Pathum Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Pattani
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phang-nga
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phatthalung
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phayao
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phetchabun
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phetchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phichit
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phitsanulok
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phra Nakhon Si Ayutthaya
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phrae
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Phuket
year_province,53,0,53,1.0,0,52,1,0,0,0,2018.0,,Prachin Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Ranong
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Ratchaburi
year_province,53,0,53,1.0,0,52,7,0,0,0,2018.0,,Rayong
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Roi Et
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Sa kaeo
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Samut Prakarn
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Samut Sakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Samut Songkhram
year_province,53,0,53,1.0,0,52,1,0,0,0,2018.0,,Saraburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Satun
year_province,53,0,53,1.0,0,52,5,0,0,0,2018.0,,Si Sa Ket
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Sing Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Songkhla
year_province,53,0,53,1.0,0,52,2,0,0,0,2018.0,,Sukhothai
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Suphan Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Surat Thani
year_province,53,0,53,1.0,0,52,2,0,0,0,2018.0,,Surin
year_province,53,0,53,1.0,0,52,1,0,0,0,2018.0,,Tak
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Trang
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Trat
year_province,53,0,53,1.0,0,52,3,0,0,0,2018.0,,Ubon Ratchathani
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Udon Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Uthai Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Uttaradit
year_province,53,0,53,1.0,0,52,0,0,0,0,2018.0,,Yala
year_province,53,0,53,1.0,0,52,2,0,0,0,2018.0,,Yasothon
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Amnat Charoen
year_province,53,0,53,1.0,0,52,3,0,0,0,2019.0,,Ang Thong
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Bangkok
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Bueng Kan
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Buri Ram
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chachoengsao
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chai Nat
year_province,53,0,53,1.0,0,52,7,0,0,0,2019.0,,Chaiyaphum
year_province,53,0,53,1.0,0,52,5,0,0,0,2019.0,,Chanthaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chiang Mai
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chiang Rai
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chon Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Chumphon
year_province,53,0,53,1.0,0,52,6,0,0,0,2019.0,,Kalasin
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Kamphaeng Phet
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Kanchanaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Khon Kaen
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Krabi
year_province,53,0,53,1.0,0,52,4,0,0,0,2019.0,,Lampang
year_province,53,0,53,1.0,0,52,1,0,0,0,2019.0,,Lamphun
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Loei
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Lop Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Mae Hong Son
year_province,53,0,53,1.0,0,52,6,0,0,0,2019.0,,Maha Sarakham
year_province,53,0,53,1.0,0,52,2,0,0,0,2019.0,,Mukdahan
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nakhon Nayok
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nakhon Phanom
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nakhon Ratchasima
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nakhon Sawan
year_province,53,0,53,1.0,0,52,4,0,0,0,2019.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nan
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Narathiwat
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nong Khai
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Nonthaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Pathum Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Pattani
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phang-nga
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phatthalung
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phayao
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phetchabun
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phetchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phichit
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phitsanulok
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phra Nakhon Si Ayutthaya
year_province,53,0,53,1.0,0,52,11,0,0,0,2019.0,,Phrae
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Phuket
year_province,53,0,53,1.0,0,52,2,0,0,0,2019.0,,Prachin Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Ranong
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Ratchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Rayong
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Roi Et
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Sa kaeo
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Samut Prakarn
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Samut Sakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Samut Songkhram
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Saraburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Satun
year_province,53,0,53,1.0,0,52,6,0,0,0,2019.0,,Si Sa Ket
year_province,53,0,53,1.0,0,52,1,0,0,0,2019.0,,Sing Buri
year_province,53,0,53,1.0,0,52,24,0,0,0,2019.0,,Songkhla
year_province,53,0,53,1.0,0,52,5,0,0,0,2019.0,,Sukhothai
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Suphan Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Surat Thani
year_province,53,0,53,1.0,0,52,7,0,0,0,2019.0,,Surin
year_province,53,0,53,1.0,0,52,22,0,0,0,2019.0,,Tak
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Trang
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Trat
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Ubon Ratchathani
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Udon Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Uthai Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Uttaradit
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Yala
year_province,53,0,53,1.0,0,52,0,0,0,0,2019.0,,Yasothon
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Amnat Charoen
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Ang Thong
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Bangkok
year_province,53,0,53,1.0,0,52,22,0,0,0,2020.0,,Bueng Kan
year_province,53,0,53,1.0,0,52,16,0,0,0,2020.0,,Buri Ram
year_province,53,25,28,0.5283018867924528,2,52,22,25,16,16,2020.0,,Chachoengsao
year_province,53,14,39,0.7358490566037735,5,52,0,14,0,0,2020.0,,Chai Nat
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Chaiyaphum
year_province,53,0,53,1.0,0,52,7,0,0,0,2020.0,,Chanthaburi
year_province,53,23,30,0.5660377358490566,8,52,0,23,0,0,2020.0,,Chiang Mai
year_province,53,23,30,0.5660377358490566,11,52,12,23,12,12,2020.0,,Chiang Rai
year_province,53,0,53,1.0,0,52,14,0,0,0,2020.0,,Chon Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Chumphon
year_province,53,0,53,1.0,0,52,2,0,0,0,2020.0,,Kalasin
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Kamphaeng Phet
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Kanchanaburi
year_province,53,18,35,0.660377358490566,0,52,15,18,9,9,2020.0,,Khon Kaen
year_province,53,2,51,0.9622641509433962,1,52,0,2,0,0,2020.0,,Krabi
year_province,53,0,53,1.0,0,52,14,0,0,0,2020.0,,Lampang
year_province,53,3,50,0.9433962264150944,2,52,0,3,0,0,2020.0,,Lamphun
year_province,53,0,53,1.0,0,52,6,0,0,0,2020.0,,Loei
year_province,53,14,39,0.7358490566037735,0,52,3,14,3,3,2020.0,,Lop Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Mae Hong Son
year_province,53,0,53,1.0,0,52,21,0,0,0,2020.0,,Maha Sarakham
year_province,53,0,53,1.0,0,52,7,0,0,0,2020.0,,Mukdahan
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Nakhon Nayok
year_province,53,7,46,0.8679245283018868,0,52,12,7,2,3,2020.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Nakhon Phanom
year_province,53,19,34,0.6415094339622641,0,52,20,19,13,13,2020.0,,Nakhon Ratchasima
year_province,53,4,49,0.9245283018867925,0,52,0,4,0,0,2020.0,,Nakhon Sawan
year_province,53,1,52,0.9811320754716981,0,52,15,1,0,0,2020.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,52,6,0,0,0,2020.0,,Nan
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Narathiwat
year_province,53,0,53,1.0,0,52,16,0,0,0,2020.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Nong Khai
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Nonthaburi
year_province,53,14,39,0.7358490566037735,0,52,0,14,0,0,2020.0,,Pathum Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Pattani
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Phang-nga
year_province,53,7,46,0.8679245283018868,0,52,3,7,1,1,2020.0,,Phatthalung
year_province,53,16,37,0.6981132075471698,0,52,15,16,9,8,2020.0,,Phayao
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Phetchabun
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Phetchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Phichit
year_province,53,0,53,1.0,0,52,4,0,0,0,2020.0,,Phitsanulok
year_province,53,6,47,0.8867924528301887,0,52,14,6,0,0,2020.0,,Phra Nakhon Si Ayutthaya
year_province,53,1,52,0.9811320754716981,1,52,20,1,1,1,2020.0,,Phrae
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Phuket
year_province,53,0,53,1.0,0,52,11,0,0,0,2020.0,,Prachin Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Ranong
year_province,53,7,46,0.8679245283018868,2,52,7,7,4,4,2020.0,,Ratchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Rayong
year_province,53,20,33,0.6226415094339622,2,52,0,20,0,0,2020.0,,Roi Et
year_province,53,0,53,1.0,0,52,11,0,0,0,2020.0,,Sa kaeo
year_province,53,3,50,0.9433962264150944,0,52,19,3,3,3,2020.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Samut Prakarn
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Samut Sakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Samut Songkhram
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Saraburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Satun
year_province,53,0,53,1.0,0,52,6,0,0,0,2020.0,,Si Sa Ket
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Sing Buri
year_province,53,0,53,1.0,0,52,19,0,0,0,2020.0,,Songkhla
year_province,53,0,53,1.0,0,52,2,0,0,0,2020.0,,Sukhothai
year_province,53,0,53,1.0,0,52,9,0,0,0,2020.0,,Suphan Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Surat Thani
year_province,53,0,53,1.0,0,52,10,0,0,0,2020.0,,Surin
year_province,53,0,53,1.0,0,52,19,0,0,0,2020.0,,Tak
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Trang
year_province,53,0,53,1.0,0,52,0,0,0,0,2020.0,,Trat
year_province,53,20,33,0.6226415094339622,1,52,29,20,14,14,2020.0,,Ubon Ratchathani
year_province,53,52,1,0.018867924528301886,0,52,13,52,13,12,2020.0,,Udon Thani
year_province,53,0,53,1.0,0,52,7,0,0,0,2020.0,,Uthai Thani
year_province,53,0,53,1.0,0,52,9,0,0,0,2020.0,,Uttaradit
year_province,53,0,53,1.0,0,52,1,0,0,0,2020.0,,Yala
year_province,53,0,53,1.0,0,52,9,0,0,0,2020.0,,Yasothon
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Amnat Charoen
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Ang Thong
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Bangkok
year_province,49,0,49,1.0,0,48,7,0,0,0,2021.0,,Bueng Kan
year_province,53,0,53,1.0,0,52,8,0,0,0,2021.0,,Buri Ram
year_province,53,52,1,0.018867924528301886,5,52,10,52,10,10,2021.0,,Chachoengsao
year_province,49,49,0,0.0,0,48,0,48,0,0,2021.0,,Chai Nat
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Chaiyaphum
year_province,53,0,53,1.0,0,52,13,0,0,0,2021.0,,Chanthaburi
year_province,53,52,1,0.018867924528301886,0,52,0,52,0,0,2021.0,,Chiang Mai
year_province,53,52,1,0.018867924528301886,25,52,4,52,4,4,2021.0,,Chiang Rai
year_province,53,0,53,1.0,0,52,2,0,0,0,2021.0,,Chon Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Chumphon
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Kalasin
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Kamphaeng Phet
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Kanchanaburi
year_province,53,52,1,0.018867924528301886,0,52,8,52,8,8,2021.0,,Khon Kaen
year_province,53,52,1,0.018867924528301886,13,52,0,52,0,0,2021.0,,Krabi
year_province,53,0,53,1.0,0,52,3,0,0,0,2021.0,,Lampang
year_province,53,52,1,0.018867924528301886,7,52,5,52,5,5,2021.0,,Lamphun
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Loei
year_province,49,49,0,0.0,0,48,0,48,0,0,2021.0,,Lop Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Mae Hong Son
year_province,53,0,53,1.0,0,52,6,0,0,0,2021.0,,Maha Sarakham
year_province,53,0,53,1.0,0,52,5,0,0,0,2021.0,,Mukdahan
year_province,53,40,13,0.24528301886792453,5,52,0,40,0,0,2021.0,,Nakhon Nayok
year_province,53,52,1,0.018867924528301886,0,52,0,52,0,0,2021.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Nakhon Phanom
year_province,53,52,1,0.018867924528301886,0,52,14,52,14,14,2021.0,,Nakhon Ratchasima
year_province,49,49,0,0.0,3,48,0,48,0,0,2021.0,,Nakhon Sawan
year_province,53,52,1,0.018867924528301886,8,52,9,52,9,9,2021.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,52,25,0,0,0,2021.0,,Nan
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Narathiwat
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Nong Khai
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Nonthaburi
year_province,53,52,1,0.018867924528301886,1,52,0,52,0,0,2021.0,,Pathum Thani
year_province,53,0,53,1.0,0,52,22,0,0,0,2021.0,,Pattani
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Phang-nga
year_province,53,52,1,0.018867924528301886,0,52,0,52,0,0,2021.0,,Phatthalung
year_province,53,52,1,0.018867924528301886,0,52,15,52,15,15,2021.0,,Phayao
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Phetchabun
year_province,53,0,53,1.0,0,52,9,0,0,0,2021.0,,Phetchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Phichit
year_province,53,51,2,0.03773584905660377,0,52,0,51,0,0,2021.0,,Phitsanulok
year_province,53,52,1,0.018867924528301886,0,52,0,52,0,0,2021.0,,Phra Nakhon Si Ayutthaya
year_province,53,52,1,0.018867924528301886,7,52,19,52,19,19,2021.0,,Phrae
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Phuket
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Prachin Buri
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Ranong
year_province,49,49,0,0.0,7,48,3,48,3,3,2021.0,,Ratchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Rayong
year_province,53,52,1,0.018867924528301886,0,52,0,52,0,0,2021.0,,Roi Et
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Sa kaeo
year_province,53,52,1,0.018867924528301886,0,52,11,52,11,11,2021.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Samut Prakarn
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Samut Sakhon
year_province,49,0,49,1.0,0,48,0,0,0,0,2021.0,,Samut Songkhram
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Saraburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Satun
year_province,53,0,53,1.0,0,52,3,0,0,0,2021.0,,Si Sa Ket
year_province,49,45,4,0.08163265306122448,0,48,0,44,0,0,2021.0,,Sing Buri
year_province,53,0,53,1.0,0,52,18,0,0,0,2021.0,,Songkhla
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Sukhothai
year_province,49,0,49,1.0,0,48,1,0,0,0,2021.0,,Suphan Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Surat Thani
year_province,53,0,53,1.0,0,52,4,0,0,0,2021.0,,Surin
year_province,53,0,53,1.0,0,52,7,0,0,0,2021.0,,Tak
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Trang
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Trat
year_province,53,52,1,0.018867924528301886,13,52,22,52,22,22,2021.0,,Ubon Ratchathani
year_province,53,52,1,0.018867924528301886,0,52,8,52,8,8,2021.0,,Udon Thani
year_province,49,0,49,1.0,0,48,35,0,0,0,2021.0,,Uthai Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Uttaradit
year_province,53,0,53,1.0,0,52,0,0,0,0,2021.0,,Yala
year_province,53,0,53,1.0,0,52,12,0,0,0,2021.0,,Yasothon
