year,season,variety,province_month_rows,provinces,total_area,mean_ratio,max_ratio
2018,inseason,สุพรรณบุรี1,193,33,786293,0.06247371601683751,0.5710454854039375
2018,inseason,ชัยนาท1,234,44,456837,0.02707035116850839,0.4015151515151515
2018,inseason,"สุพรรณบุรี60,90",135,23,80803,0.010627006746728332,0.08361204013377926
2018,inseason,หอมสุพรรณบุรี,73,13,17774,0.0013967918132017608,0.005695719058129424
2018,offseason,กขไม่ไวต่อช่วงแสง,340,68,7817249,0.48599763433232657,0.9714138040712468
2018,offseason,ราชการไม่ไวต่อช่วงแสง,342,69,1193849,0.17383591775336524,0.971648664721258
2018,offseason,"พิษณุโลก2,60-2",245,45,1043966,0.09284132536248006,0.47641509433962265
2018,offseason,ปทุมธานี1,301,58,798776,0.09662468278529418,0.704612365063788
2018,offseason,สุพรรณบุรี1,232,41,552667,0.0632591071490248,0.5491731940818103
2018,offseason,"ชัยนาท1,2",253,51,491678,0.1275455765014432,0.7857142857142857
2018,offseason,กข10,138,30,364461,0.15932230355092303,0.64538880775122
2018,offseason,"สุพรรณบุรี60,90",139,25,66200,0.02456659316883687,0.16326530612244897
2018,offseason,หอมสุพรรณบุรี,38,7,3126,0.003483899190587416,0.026817947395564725
2019,inseason,ขาวดอกมะลิ105,325,64,25669771,0.24574838547219513,0.9143913209592437
2019,inseason,กข6,191,40,13910562,0.24947884172671014,0.8061493839139462
2019,inseason,ราชการไม่ไวต่อช่วงแสง,381,77,12833136,0.3734902895024846,1.0
2019,inseason,กข15,159,34,2218540,0.02874132491961844,0.2645562464669305
2019,inseason,ปทุมธานี1,289,54,2017943,0.14331302892713882,0.7339449541284404
2019,inseason,ราชการไวต่อช่วงแสง,356,71,1734346,0.051661427229276406,0.2977203801320762
2019,inseason,พันธุ์พื้นเมือง,347,70,1433066,0.08951085222020577,0.8267368778664855
2019,inseason,สุพรรณบุรี1,196,34,693597,0.05379679156898696,0.573208722741433
2019,inseason,ชัยนาท1,208,39,360250,0.023573401482673936,0.31334622823984526
2019,inseason,"สุพรรณบุรี60,90",170,30,130674,0.006606186024456886,0.036231884057971016
2019,inseason,หอมสุพรรณบุรี,60,11,49238,0.0028659255836128257,0.01704339079656897
2019,offseason,กขไม่ไวต่อช่วงแสง,338,69,8072370,0.5036979136159889,0.9644430937547486
2019,offseason,ราชการไม่ไวต่อช่วงแสง,330,67,1285081,0.16706600167515823,0.9727217619721156
