model,feature_set,feature,importance
random_forest_core_no_BUS,core_no_BUS,regional_neighbor_pressure_3w,0.1437286419774331
random_forest_core_no_BUS,core_no_BUS,regional_neighbor_pressure_2w,0.1396432652515924
random_forest_core_no_BUS,core_no_BUS,regional_wind_alignment_frequency,0.10682900501037594
random_forest_core_no_BUS,core_no_BUS,susceptibility_score,0.06527289760154247
random_forest_core_no_BUS,core_no_BUS,regional_host_pressure,0.03976842430288448
random_forest_core_no_BUS,core_no_BUS,neighbor_prevweek_blast,0.03923794676057372
random_forest_core_no_BUS,core_no_BUS,week_sin,0.03838155066354272
random_forest_core_no_BUS,core_no_BUS,total_pov_area,0.031736375767824676
random_forest_core_no_BUS,core_no_BUS,temperature_mean,0.019655977827980016
random_forest_core_no_BUS,core_no_BUS,pov_variety_count,0.01801161288831686
random_forest_core_no_BUS,core_no_BUS,regional_leaf_wet_accumulation,0.01760852241430818
random_forest_core_no_BUS,core_no_BUS,week_cos,0.014834017474745371
random_forest_core_no_BUS,core_no_BUS,wind_direction_variability,0.014723442855402813
random_forest_core_no_BUS,core_no_BUS,prevailing_wind_direction,0.014068208781531697
random_forest_core_no_BUS,core_no_BUS,rolling_3w_leaf_wet_hours,0.013886027133091948
random_forest_core_no_BUS,core_no_BUS,neighbor_prevweek_risk,0.013571106644631301
random_forest_core_no_BUS,core_no_BUS,mean_wind_speed,0.013518147395964393
random_forest_core_no_BUS,core_no_BUS,host_weighted_rolling_3w,0.013115434750303431
random_forest_core_no_BUS,core_no_BUS,rolling_3w_risk,0.012918370015250775
random_forest_core_no_BUS,core_no_BUS,rainfall_sum,0.012413987263298098
random_forest_core_no_BUS,core_no_BUS,host_weighted_rolling_2w,0.012356008555547984
random_forest_core_no_BUS,core_no_BUS,rolling_2w_leaf_wet_hours,0.011846749726620465
random_forest_core_no_BUS,core_no_BUS,rolling_2w_risk,0.011227771718644893
random_forest_core_no_BUS,core_no_BUS,spatial_host_weather_risk,0.010501182775229238
random_forest_core_no_BUS,core_no_BUS,risk_score,0.010333134086860185
random_forest_core_no_BUS,core_no_BUS,wind_aligned_neighbor_blast,0.01025943343438475
random_forest_core_no_BUS,core_no_BUS,host_weighted_risk,0.010209292153643164
random_forest_core_no_BUS,core_no_BUS,humidity_mean,0.010089973338258727
random_forest_core_no_BUS,core_no_BUS,max_wind_speed,0.010016940501208976
random_forest_core_no_BUS,core_no_BUS,humid_wind_hours,0.009583373790433199
random_forest_core_no_BUS,core_no_BUS,province_Tak,0.009049150735140253
random_forest_core_no_BUS,core_no_BUS,leaf_wet_hours,0.008720829911791532
random_forest_core_no_BUS,core_no_BUS,leaf_wet_ratio,0.008508518916136666
random_forest_core_no_BUS,core_no_BUS,province_Songkhla,0.0082410650029796
random_forest_core_no_BUS,core_no_BUS,leaf_wet_wind_hours,0.007482163642413271
random_forest_core_no_BUS,core_no_BUS,region_Northeast,0.005907193470963548
random_forest_core_no_BUS,core_no_BUS,region_South,0.005616284068940403
random_forest_core_no_BUS,core_no_BUS,region_Central,0.004943216808154897
random_forest_core_no_BUS,core_no_BUS,wind_aligned_neighbor_count,0.004493731713532794
random_forest_core_no_BUS,core_no_BUS,region_North,0.0035362447792959243
random_forest_core_no_BUS,core_no_BUS,province_Phrae,0.003522255796714227
random_forest_core_no_BUS,core_no_BUS,province_Ubon Ratchathani,0.0031391619987901176
random_forest_core_no_BUS,core_no_BUS,mean_wind_gust,0.003009109151703776
random_forest_core_no_BUS,core_no_BUS,province_Phra Nakhon Si Ayutthaya,0.0028279950327737926
random_forest_core_no_BUS,core_no_BUS,province_Rayong,0.0016913746714760547
random_forest_core_no_BUS,core_no_BUS,region_East,0.0015837491302005571
random_forest_core_no_BUS,core_no_BUS,region_West,0.0015445608903247785
random_forest_core_no_BUS,core_no_BUS,province_Bueng Kan,0.001248040899751634
random_forest_core_no_BUS,core_no_BUS,province_Prachin Buri,0.0012397503053580702
random_forest_core_no_BUS,core_no_BUS,province_Sukhothai,0.0011524177500530134
random_forest_core_no_BUS,core_no_BUS,province_Surat Thani,0.0010280987585831235
random_forest_core_no_BUS,core_no_BUS,province_Roi Et,0.0009249513900673017
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Si Thammarat,0.0008732146461422525
random_forest_core_no_BUS,core_no_BUS,province_Phichit,0.0008565342817364146
random_forest_core_no_BUS,core_no_BUS,province_Si Sa Ket,0.0008164237478598809
random_forest_core_no_BUS,core_no_BUS,province_Nong Khai,0.0007943300624741103
random_forest_core_no_BUS,core_no_BUS,province_Maha Sarakham,0.0007593340551653897
random_forest_core_no_BUS,core_no_BUS,province_Krabi,0.00074036589627173
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Sawan,0.0007316363552828265
random_forest_core_no_BUS,core_no_BUS,province_Amnat Charoen,0.0006739209921085886
random_forest_core_no_BUS,core_no_BUS,province_Chachoengsao,0.0006710763162684651
random_forest_core_no_BUS,core_no_BUS,province_Mukdahan,0.0006384250460756446
random_forest_core_no_BUS,core_no_BUS,province_Phatthalung,0.00062462059065344
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Pathom,0.0005883667020929195
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Phanom,0.0005857729424447325
random_forest_core_no_BUS,core_no_BUS,province_Phetchabun,0.0005834498549082181
random_forest_core_no_BUS,core_no_BUS,province_Trat,0.0005768879351652169
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Nayok,0.0005757813152641142
random_forest_core_no_BUS,core_no_BUS,province_Chiang Mai,0.0005565626027663605
random_forest_core_no_BUS,core_no_BUS,province_Mae Hong Son,0.00051057314171007
random_forest_core_no_BUS,core_no_BUS,province_Kamphaeng Phet,0.000441695617940812
random_forest_core_no_BUS,core_no_BUS,province_Chumphon,0.00041811460985135824
random_forest_core_no_BUS,core_no_BUS,province_Surin,0.0003975022094146072
random_forest_core_no_BUS,core_no_BUS,province_Lamphun,0.000394191306947639
random_forest_core_no_BUS,core_no_BUS,province_Uthai Thani,0.00036682032494352203
random_forest_core_no_BUS,core_no_BUS,province_Suphan Buri,0.00034956813496484927
random_forest_core_no_BUS,core_no_BUS,province_Kalasin,0.0003048572126167909
random_forest_core_no_BUS,core_no_BUS,province_Phang-nga,0.00029819375412823434
random_forest_core_no_BUS,core_no_BUS,province_Ang Thong,0.0002980676959795477
random_forest_core_no_BUS,core_no_BUS,province_Chaiyaphum,0.00028630293806547236
random_forest_core_no_BUS,core_no_BUS,province_Phuket,0.00027854963367386556
random_forest_core_no_BUS,core_no_BUS,province_Lampang,0.00027585011511561513
random_forest_core_no_BUS,core_no_BUS,province_Trang,0.00027382597434046747
random_forest_core_no_BUS,core_no_BUS,province_Saraburi,0.0002645282158315733
random_forest_core_no_BUS,core_no_BUS,province_Phayao,0.0002573194161941519
random_forest_core_no_BUS,core_no_BUS,province_Yasothon,0.0002539832714559229
random_forest_core_no_BUS,core_no_BUS,province_Ranong,0.00023734866340358482
random_forest_core_no_BUS,core_no_BUS,province_Satun,0.00023551755217039957
random_forest_core_no_BUS,core_no_BUS,province_Samut Sakhon,0.00022282685189984206
random_forest_core_no_BUS,core_no_BUS,province_Nonthaburi,0.00019469331523827002
random_forest_core_no_BUS,core_no_BUS,province_Yala,0.00019296668414656352
random_forest_core_no_BUS,core_no_BUS,province_Sakon Nakhon,0.00018513964666172782
random_forest_core_no_BUS,core_no_BUS,province_Nakhon Ratchasima,0.0001781983222868456
random_forest_core_no_BUS,core_no_BUS,province_Sing Buri,0.000174435192475002
random_forest_core_no_BUS,core_no_BUS,province_Chiang Rai,0.0001662904281765108
random_forest_core_no_BUS,core_no_BUS,province_Pattani,0.0001556920812676236
random_forest_core_no_BUS,core_no_BUS,province_Buri Ram,0.00014636443756821472
random_forest_core_no_BUS,core_no_BUS,province_Phetchaburi,0.00014004886630153977
random_forest_core_no_BUS,core_no_BUS,province_Samut Prakarn,0.00013506632975142718
random_forest_core_no_BUS,core_no_BUS,province_Narathiwat,0.00013248195865610098
random_forest_core_no_BUS,core_no_BUS,province_Ratchaburi,0.00012751395221055725
random_forest_core_no_BUS,core_no_BUS,province_Udon Thani,0.00012115464057773076
random_forest_core_no_BUS,core_no_BUS,province_Chai Nat,0.00011665684494531397
random_forest_core_no_BUS,core_no_BUS,province_Nan,0.00011551214559365339
random_forest_core_no_BUS,core_no_BUS,province_Phitsanulok,0.00011191611174120566
random_forest_core_no_BUS,core_no_BUS,province_Chon Buri,0.00010978141641695411
random_forest_core_no_BUS,core_no_BUS,province_Bangkok,9.61840373665823e-05
random_forest_core_no_BUS,core_no_BUS,province_Chanthaburi,9.423642524090196e-05
random_forest_core_no_BUS,core_no_BUS,province_Khon Kaen,9.016887659394699e-05
random_forest_core_no_BUS,core_no_BUS,province_Loei,6.90917937736926e-05
random_forest_core_no_BUS,core_no_BUS,province_Uttaradit,6.792204449511093e-05
random_forest_core_no_BUS,core_no_BUS,province_Prachuap Khiri Khan,6.388597024684962e-05
random_forest_core_no_BUS,core_no_BUS,province_Lop Buri,5.643085504785766e-05
random_forest_core_no_BUS,core_no_BUS,province_Samut Songkhram,5.281025758036919e-05
random_forest_core_no_BUS,core_no_BUS,province_Sa kaeo,5.236943302931864e-05
random_forest_core_no_BUS,core_no_BUS,province_Nong Bua Lam Phu,4.0937640602316234e-05
random_forest_core_no_BUS,core_no_BUS,province_Kanchanaburi,3.409841159730955e-05
random_forest_core_no_BUS,core_no_BUS,province_Pathum Thani,8.924210510609908e-06
xgboost_core_no_BUS,core_no_BUS,regional_neighbor_pressure_2w,0.06791504472494125
xgboost_core_no_BUS,core_no_BUS,regional_neighbor_pressure_3w,0.04069211333990097
xgboost_core_no_BUS,core_no_BUS,spatial_host_weather_risk,0.03456363454461098
xgboost_core_no_BUS,core_no_BUS,rainfall_sum,0.033020589500665665
xgboost_core_no_BUS,core_no_BUS,regional_wind_alignment_frequency,0.03262423723936081
xgboost_core_no_BUS,core_no_BUS,total_pov_area,0.024515455588698387
xgboost_core_no_BUS,core_no_BUS,susceptibility_score,0.0223366878926754
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Si Thammarat,0.02184375561773777
xgboost_core_no_BUS,core_no_BUS,province_Tak,0.020271653309464455
xgboost_core_no_BUS,core_no_BUS,province_Songkhla,0.0177114587277174
xgboost_core_no_BUS,core_no_BUS,week_cos,0.017475364729762077
xgboost_core_no_BUS,core_no_BUS,regional_host_pressure,0.01708981581032276
xgboost_core_no_BUS,core_no_BUS,region_South,0.016244476661086082
xgboost_core_no_BUS,core_no_BUS,pov_variety_count,0.01557162031531334
xgboost_core_no_BUS,core_no_BUS,province_Phrae,0.015420260839164257
xgboost_core_no_BUS,core_no_BUS,province_Phra Nakhon Si Ayutthaya,0.015068077482283115
xgboost_core_no_BUS,core_no_BUS,region_Northeast,0.014894502237439156
xgboost_core_no_BUS,core_no_BUS,province_Si Sa Ket,0.01431962475180626
xgboost_core_no_BUS,core_no_BUS,province_Ubon Ratchathani,0.014213711954653263
xgboost_core_no_BUS,core_no_BUS,regional_leaf_wet_accumulation,0.01392863318324089
xgboost_core_no_BUS,core_no_BUS,week_sin,0.013686733320355415
xgboost_core_no_BUS,core_no_BUS,region_North,0.013364278711378574
xgboost_core_no_BUS,core_no_BUS,province_Prachin Buri,0.013154521584510803
xgboost_core_no_BUS,core_no_BUS,leaf_wet_ratio,0.012804615311324596
xgboost_core_no_BUS,core_no_BUS,risk_score,0.012777533382177353
xgboost_core_no_BUS,core_no_BUS,province_Phatthalung,0.012618370354175568
xgboost_core_no_BUS,core_no_BUS,rolling_2w_leaf_wet_hours,0.012579579837620258
xgboost_core_no_BUS,core_no_BUS,province_Phichit,0.012534595094621181
xgboost_core_no_BUS,core_no_BUS,province_Maha Sarakham,0.012440851889550686
xgboost_core_no_BUS,core_no_BUS,province_Rayong,0.011970026418566704
xgboost_core_no_BUS,core_no_BUS,prevailing_wind_direction,0.01189171988517046
xgboost_core_no_BUS,core_no_BUS,rolling_2w_risk,0.011824834160506725
xgboost_core_no_BUS,core_no_BUS,region_West,0.011479798704385757
xgboost_core_no_BUS,core_no_BUS,province_Bueng Kan,0.011176911182701588
xgboost_core_no_BUS,core_no_BUS,province_Lampang,0.01117115467786789
xgboost_core_no_BUS,core_no_BUS,humidity_mean,0.011089052073657513
xgboost_core_no_BUS,core_no_BUS,neighbor_prevweek_risk,0.011009708046913147
xgboost_core_no_BUS,core_no_BUS,province_Nakhon Sawan,0.010640350170433521
xgboost_core_no_BUS,core_no_BUS,wind_direction_variability,0.010496598668396473
xgboost_core_no_BUS,core_no_BUS,province_Chiang Mai,0.010228386148810387
xgboost_core_no_BUS,core_no_BUS,province_Roi Et,0.009932519868016243
xgboost_core_no_BUS,core_no_BUS,rolling_3w_leaf_wet_hours,0.009924289770424366
