province,analog_province,analog_rank,combined_similarity,province_region,analog_region,same_region,distance_km,weather_similarity,host_similarity,pressure_similarity,outbreak_history_similarity
Amnat Charoen,Nakhon Phanom,1,0.769626893502111,Northeast,Northeast,True,163.80272166454617,0.69776009131661,0.6712757954565924,0.7094716872352416,1.0
Amnat Charoen,Nong Khai,2,0.7234841694285273,Northeast,Northeast,True,305.5136652536036,0.6961949883299727,0.5441535946256947,0.6535880947584422,1.0
Amnat Charoen,Roi Et,3,0.6751017617329954,Northeast,Northeast,True,96.925221072069,0.4758980374740218,0.4952278129847866,0.7292811964731731,1.0
Amnat Charoen,Trat,4,0.5884569035009166,Northeast,East,False,479.9290197793111,0.31291896081151394,0.5031186977357479,0.5377899554564044,1.0
Amnat Charoen,Khon Kaen,5,0.5439226167970921,Northeast,Northeast,True,231.57392470142275,0.5936473504670052,0.5872089386032083,0.8044277260092416,0.1904064521089135
Ang Thong,Pathum Thani,1,0.6985505764292628,Central,Central,True,67.9000762519896,0.8645880387423206,0.6534934430477679,0.6789464587231402,0.5971743652038226
Ang Thong,Saraburi,2,0.6812897584827803,Central,Central,True,54.400240517212495,0.7938363273891984,0.6457692726077668,0.7237236130073559,0.5618298209268002
Ang Thong,Nonthaburi,3,0.6522474687583844,Central,Central,True,80.52452123247505,0.7439178002342932,0.636808990786788,0.6785100983587917,0.5497529856536645
Ang Thong,Bangkok,4,0.6424409321407153,Central,Central,True,96.6455895994016,0.6839722170819599,0.6842337940911105,0.6700746745826254,0.5314830428071655
Ang Thong,Samut Prakarn,5,0.6392942992703365,Central,Central,True,114.15713416955498,0.6419282383446958,0.5854772346041562,0.7325973589286716,0.5971743652038226
Bangkok,Nonthaburi,1,0.7750345262984419,Central,Central,True,19.55171429698591,0.8334363379980874,0.7707426057388496,0.8960603472531918,0.5998988142036392
Bangkok,Samut Sakhon,2,0.7059832312483957,Central,Central,True,41.548774144638166,0.8481059953379115,0.6037449086965039,0.713906442212062,0.6581755787471054
Bangkok,Pathum Thani,3,0.6967738193609037,Central,Central,True,32.987533437875534,0.690287541375201,0.7796797631399318,0.6589523941813764,0.6581755787471054
Bangkok,Saraburi,4,0.6921192523453119,Central,Central,True,95.57180726780032,0.7286711956904894,0.6359351499652901,0.7741276571206905,0.6297430066047776
Bangkok,Samut Prakarn,5,0.6834140396967062,Central,Central,True,18.85870729616152,0.6470755153096528,0.680066983927098,0.7483380808029687,0.6581755787471054
Bueng Kan,Nong Bua Lam Phu,1,0.5426063936654337,Northeast,Northeast,True,180.13830465815104,0.4950389578525981,0.5887325299521342,0.7016519224492194,0.38500216440778323
Bueng Kan,Sakon Nakhon,2,0.5107730169853324,Northeast,Northeast,True,85.99424595144205,0.4987709793373866,0.47137687938470063,0.6743041560261092,0.3986400531931332
Bueng Kan,Maha Sarakham,3,0.5105719759068776,Northeast,Northeast,True,246.6368849208109,0.43895263358383907,0.47059321915176855,0.765537396105208,0.3672046547866951
Bueng Kan,Mukdahan,4,0.48763365663846214,Northeast,Northeast,True,204.35647387602663,0.5505237064121236,0.36602521690048906,0.6742091908089389,0.359776512432297
Bueng Kan,Udon Thani,5,0.4859677869803876,Northeast,Northeast,True,117.87785083051052,0.4953204037544189,0.49894415658147545,0.6074019063832905,0.34220468120236563
Buri Ram,Nakhon Ratchasima,1,0.6596835731042342,Northeast,Northeast,True,86.08498331481705,0.7335236408261654,0.6218869024968837,0.8368521968907852,0.4464715522031021
Buri Ram,Si Sa Ket,2,0.6512065684989916,Northeast,Northeast,True,145.52666798051823,0.7574095204274554,0.7018327887353639,0.6914860577263989,0.45409790710674836
Buri Ram,Khon Kaen,3,0.6429347882393663,Northeast,Northeast,True,167.02750837462548,0.7209236216760926,0.5870930824327834,0.7300904697492846,0.533631979099305
Buri Ram,Ubon Ratchathani,4,0.6192433042161773,Northeast,Northeast,True,223.89570156342663,0.7648525603369234,0.647015333894949,0.6678835478232152,0.39722177480962173
Buri Ram,Surin,5,0.597519782201473,Northeast,Northeast,True,74.90226218528356,0.6023265910996942,0.6222890797256773,0.686930151182645,0.4785333067978752
Chachoengsao,Chon Buri,1,0.6585275157166975,East,East,True,59.58779268280624,0.7680694484556061,0.6780240616906028,0.7483446752634888,0.4396718774570925
Chachoengsao,Nakhon Nayok,2,0.541580115256044,East,East,True,55.07752570994303,0.7839938587838708,0.6228469721071129,0.6021077269416044,0.15737190319158778
Chachoengsao,Rayong,3,0.539556084448257,East,East,True,105.83892830421584,0.7020586042655856,0.6771636784100721,0.5646940755395298,0.21430797957784037
Chachoengsao,Nakhon Pathom,4,0.4799256967252014,East,Central,False,111.3131450457125,0.6382339480959323,0.6204566489701723,0.19928843565194732,0.4617237541827537
Chachoengsao,Phichit,5,0.4732858305487819,East,North,False,298.22721580326896,0.5155936282255837,0.5962308592607553,0.443561251823483,0.33775758288530555
Chai Nat,Sing Buri,1,0.7236782415981018,Central,Central,True,42.11083214077992,0.7424300684430294,0.6230250363007594,0.8710822829015132,0.6581755787471054
Chai Nat,Prachuap Khiri Khan,2,0.6844651451885606,Central,West,False,366.5398815175108,0.5878014321561198,0.5719260553320168,0.578133093266106,1.0
Chai Nat,Samut Songkhram,3,0.6821036005674832,Central,Central,True,191.48509496758928,0.5759317494561315,0.5124869874441097,0.6399956653696917,1.0
Chai Nat,Pathum Thani,4,0.6711142629532456,Central,Central,True,136.11331366773717,0.49705861107823984,0.5004080223895849,0.6869904183451578,1.0
Chai Nat,Phetchaburi,5,0.6688545640792215,Central,West,False,235.21883740370487,0.5471755397329815,0.4503442328070352,0.6778984837768693,1.0
Chaiyaphum,Yasothon,1,0.6239762426888439,Northeast,Northeast,True,252.9093049821448,0.6068227930092415,0.6906951588407896,0.6196325717828743,0.57875444712247
Chaiyaphum,Kalasin,2,0.5889066295039491,Northeast,Northeast,True,191.3271147116805,0.4644788237536641,0.6413522517098049,0.6785126161546482,0.571282826397679
Chaiyaphum,Udon Thani,3,0.5648153274512283,Northeast,Northeast,True,188.94934681321064,0.4692951018088037,0.5499215554199537,0.6873321429636117,0.5527125096125443
Chaiyaphum,Roi Et,4,0.5540743502874337,Northeast,Northeast,True,199.08206473345425,0.5484932049479038,0.622259459892149,0.6130010136076749,0.43254372270200725
Chaiyaphum,Khon Kaen,5,0.5424059965129584,Northeast,Northeast,True,82.21925128869945,0.4166310322055328,0.5807392436367181,0.7132361934504289,0.4590175167591539
Chanthaburi,Sa kaeo,1,0.6089415667758465,East,East,True,118.43633444415048,0.5222727602018379,0.5475930895752893,0.7752158514724516,0.5906845658538072
Chanthaburi,Trat,2,0.5635225945583164,East,East,True,75.28059160310787,0.561253438307681,0.6597125647722927,0.7758175026201111,0.25730687253318063
Chanthaburi,Prachin Buri,3,0.5325499341991571,East,East,True,159.5793458183291,0.5977172500246988,0.4626205218013089,0.6209277219194915,0.4489342430511294
Chanthaburi,Nakhon Nayok,4,0.45778451297277545,East,East,True,198.690443424047,0.5388057885286697,0.2878756235257656,0.7471497673034859,0.25730687253318063
Chanthaburi,Chachoengsao,5,0.42678484011729273,East,East,True,154.30331302232108,0.5025874611696298,0.22376901708149255,0.6196377198599475,0.361145162358101
Chiang Mai,Lamphun,1,0.7229244222297686,North,North,True,55.29430070771099,0.7603670430092551,0.7363169239182251,0.7089466528468465,0.6860670691447475
Chiang Mai,Mae Hong Son,2,0.707208388521524,North,North,True,90.7705548280998,0.7040602108510808,0.6400358660973577,0.7799224594461971,0.7048150176914603
Chiang Mai,Kamphaeng Phet,3,0.5792251643759571,North,North,True,287.09873688596144,0.4739728019828433,0.46239189178653634,0.6757209460429882,0.7048150176914603
Chiang Mai,Nan,4,0.5491112193713684,North,North,True,198.82127845191096,0.5578572111362957,0.5269122320067463,0.6539865301242898,0.457688904218142
Chiang Mai,Lampang,5,0.5348902861561875,North,North,True,83.41274328343368,0.675640867585663,0.6586290767870939,0.6458958112027446,0.1593953890492486
Chiang Rai,Phayao,1,0.6383936443637355,North,North,True,68.7200404339237,0.7803398979474936,0.6035295102108765,0.7007211913702343,0.4689839779263379
Chiang Rai,Buri Ram,2,0.5298342329409184,North,Northeast,False,642.216381521018,0.5436387002632396,0.48187356837553763,0.482146745537294,0.6116779175876023
Chiang Rai,Nakhon Ratchasima,3,0.48395592603889404,North,Northeast,False,585.3776929238664,0.4950674589986516,0.5139977091033137,0.4952768800705034,0.43148165598310734
Chiang Rai,Khon Kaen,4,0.4795644648449422,North,Northeast,False,483.8049183667325,0.49715216997606176,0.4911173411376514,0.46100437033971764,0.4689839779263379
Chiang Rai,Si Sa Ket,5,0.46704856340944007,North,Northeast,False,721.2757514071977,0.523152148774943,0.47632556845514806,0.4549237123919022,0.41379282401576695
Chon Buri,Chachoengsao,1,0.6585275157166975,East,East,True,59.58779268280624,0.7680694484556061,0.6780240616906028,0.7483446752634888,0.4396718774570925
Chon Buri,Rayong,2,0.5551913675089887,East,East,True,56.996713511400166,0.7721016077379914,0.711650008962556,0.5151816680896679,0.22183218524573964
Chon Buri,Nakhon Nayok,3,0.5355469765944583,East,East,True,114.292470254669,0.681180935605466,0.6312304081188969,0.5893779981214402,0.2403985645320299
Chon Buri,Nakhon Pathom,4,0.5270083449669276,East,Central,False,129.1826763192996,0.5943777387120375,0.5633279391996928,0.2383948840035982,0.7119328179523821
Chon Buri,Samut Prakarn,5,0.46647934470022523,East,Central,False,67.85020148626916,0.7387281278779416,0.6243626417882263,0.2624280446027032,0.2403985645320299
Chumphon,Surat Thani,1,0.7482083892855564,South,South,True,125.2393932376794,0.6036377875122964,0.5707602422822161,0.8184355273477135,1.0
Chumphon,Pattani,2,0.7075334889897065,South,South,True,464.07859433801457,0.642011511785432,0.6678682130962615,0.5202542310771322,1.0
Chumphon,Phang-nga,3,0.6789047214443064,South,South,True,211.84766395380808,0.5730412440036119,0.5639575264688848,0.5786201153047287,1.0
Chumphon,Phuket,4,0.6751120436682427,South,South,True,286.4998066902062,0.5377062479118841,0.4796054373530023,0.6831364894080847,1.0
Chumphon,Krabi,5,0.6666978836459156,South,South,True,259.9470666487469,0.5115670650773003,0.5162560400362172,0.6389684294701452,1.0
Kalasin,Udon Thani,1,0.6136301104615022,Northeast,Northeast,True,119.99901595569948,0.657335542661718,0.7025615879509999,0.6512095832212268,0.44341372801206413
Kalasin,Chaiyaphum,2,0.5889066295039491,Northeast,Northeast,True,191.3271147116805,0.4644788237536641,0.6413522517098049,0.6785126161546482,0.571282826397679
Kalasin,Yasothon,3,0.5785158323302515,Northeast,Northeast,True,111.30699634999834,0.6415367982980329,0.6178199030715359,0.5874557307616554,0.4672508971897822
Kalasin,Roi Et,4,0.5771824278443506,Northeast,Northeast,True,74.48467920823427,0.7617086457884592,0.5501928644607907,0.6127768745741814,0.38405132655397084
Kalasin,Nakhon Phanom,5,0.5451478954290372,Northeast,Northeast,True,122.55038120918738,0.5842597923328711,0.48891746173789663,0.7233630010914103,0.38405132655397084
Kamphaeng Phet,Phetchabun,1,0.7054921829627536,North,North,True,155.52005554624304,0.7011141119754407,0.7274425422753781,0.3934120776001956,1.0
Kamphaeng Phet,Nakhon Sawan,2,0.6467033630426638,North,North,True,96.19418334879344,0.763177746789247,0.611247806328483,0.40254609158176846,0.8098418074711571
Kamphaeng Phet,Mae Hong Son,3,0.6336850708105041,North,North,True,315.238116608001,0.5195588798828192,0.3152971152547374,0.6998842881044596,1.0
Kamphaeng Phet,Lamphun,4,0.6084773992765993,North,North,True,233.1159228221024,0.4578277793487275,0.4275129773584123,0.7277099622452876,0.8208588781539694
Kamphaeng Phet,Roi Et,5,0.5879408129652007,North,Northeast,False,445.2772875439504,0.5095179596616125,0.3660655970886042,0.4761796951105861,1.0
Kanchanaburi,Phetchaburi,1,0.6921685126314692,West,West,True,139.56919920025413,0.6467165153043319,0.41800865624521194,0.703948878976333,1.0
Kanchanaburi,Prachuap Khiri Khan,2,0.6821917915756883,West,West,True,261.9417962090053,0.6340024301425147,0.4505523616884006,0.644212374471838,1.0
Kanchanaburi,Samut Sakhon,3,0.669862479895125,West,Central,False,109.47801139404662,0.4676197028580249,0.5030451807026337,0.7087850360198414,1.0
Kanchanaburi,Samut Prakarn,4,0.6639359617025544,West,Central,False,147.4872179364359,0.5401185841344186,0.4684232085926483,0.647202054083151,1.0
Kanchanaburi,Chai Nat,5,0.6477823962876023,West,Central,False,124.0259480684068,0.6172549994814895,0.3288258939799676,0.645048691688952,1.0
Khon Kaen,Udon Thani,1,0.6960518155679741,Northeast,Northeast,True,121.36519111051136,0.6425665352306149,0.5944979495849828,0.8606923132989541,0.6864504641573447
Khon Kaen,Si Sa Ket,2,0.6519371295601941,Northeast,Northeast,True,242.6965104462296,0.730282651241235,0.6002240845553958,0.7623722007818166,0.5148695816623291
Khon Kaen,Maha Sarakham,3,0.6501751443854282,Northeast,Northeast,True,74.87312269559166,0.6797094084379601,0.791140978437072,0.6434651880860979,0.48638500258058304
Khon Kaen,Buri Ram,4,0.6429347882393663,Northeast,Northeast,True,167.02750837462548,0.7209236216760926,0.5870930824327834,0.7300904697492846,0.533631979099305
Khon Kaen,Surin,5,0.6304286009167712,Northeast,Northeast,True,194.77414098353108,0.6056322380870659,0.5716021859544993,0.743003445555725,0.6014765340697945
Krabi,Surat Thani,1,0.7443329918651393,South,South,True,145.12207678523131,0.6447909192097203,0.6940920883210794,0.638448959929758,1.0
Krabi,Narathiwat,2,0.7089685918496046,South,South,True,368.4195136727421,0.5387949315311971,0.5994398622440563,0.697639573623165,1.0
Krabi,Ranong,3,0.7035187306325408,South,South,True,207.7158030556852,0.5033341195022324,0.5301527266564883,0.7805880763714426,1.0
