region,feature_group,feature,positive_rows,negative_rows,positive_mean,negative_mean,effect_diff,effect_ratio,positive_median,negative_median,coverage_rate
North,weather_moisture,humidity_mean,18,866,75.30383669046358,74.55515493797786,0.748681752485723,1.0100419850660702,75.80541666666667,75.37325892857143,1.0
North,weather_moisture,temperature_mean,18,866,27.059262817721375,27.334402443396094,-0.2751396256747185,0.9899343098410702,27.247773468361707,27.591863247863245,1.0
North,weather_moisture,rainfall_sum,18,866,29.605,29.666593533487294,-0.061593533487293683,0.9979238083598049,14.420000000000002,16.339999999999996,1.0
North,weather_moisture,leaf_wet_hours,18,866,27.77777777777778,27.76096997690531,0.016807800872467027,1.0006054471758894,32.5,20.0,1.0
North,weather_moisture,leaf_wet_ratio,18,866,0.20941166813278395,0.21743295948185828,-0.008021291349074339,0.963109128587547,0.194047619047619,0.1920122887864823,1.0
North,weather_moisture,risk_score,18,866,25.283703838678182,25.46787562237533,-0.18417178369714904,0.9927684669727481,23.205357142857146,23.675595238095234,1.0
North,weather_moisture,rolling_2w_risk,18,866,51.76696570837161,50.75910443701924,1.0078612713523682,1.0198557733145766,49.389527845036326,48.21674246744605,1.0
North,weather_moisture,rolling_3w_risk,18,866,77.17884998243179,75.87599145715583,1.3028585252759513,1.0171708929300993,71.27200955232394,73.18948412698413,1.0
North,weather_moisture,rolling_2w_leaf_wet_hours,18,866,58.55555555555556,55.36951501154734,3.1860405440082147,1.0575414204611286,65.5,44.0,1.0
North,weather_moisture,rolling_3w_leaf_wet_hours,18,866,88.27777777777777,82.81177829099308,5.465999486784696,1.0660050973374544,103.5,67.0,1.0
North,host_pov,susceptibility_score,18,866,0.5033673749431049,0.5165080402263664,-0.013140665283261521,0.9745586433126918,0.5021529721057916,0.5105046430131714,1.0
North,host_pov,host_weighted_risk,18,866,25.362985884389392,25.971742389341603,-0.6087565049522112,0.9765608138327279,23.248457942879924,24.03292974332085,1.0
North,host_pov,host_weighted_rolling_2w,18,866,51.914916275383185,51.75327406006626,0.1616422153169239,1.003123323466054,49.4747894448599,48.80354359118001,1.0
North,host_pov,host_weighted_rolling_3w,18,866,77.39097603007538,77.34382436553834,0.047151664537040006,1.0006096370967408,71.27200955232394,73.93055468098765,1.0
North,host_pov,total_pov_area,18,866,57852.8,123189.76490066225,-65336.96490066225,0.46962343053947164,63888.0,64279.5,0.681465038845727
North,host_pov,pov_variety_count,18,866,5.4,7.637417218543046,-2.2374172185430456,0.7070453067418166,5.0,8.0,0.681465038845727
North,spatial_regional,neighbor_prevweek_blast,18,866,0.0,0.015473441108545016,-0.015473441108545016,0.0,0.0,0.0,1.0
North,spatial_regional,neighbor_prevweek_risk,18,866,29.219100852569973,25.323222092896447,3.8958787596735256,1.1538460921513767,30.16844193817878,22.3049650587509,1.0
North,spatial_regional,regional_neighbor_pressure_2w,18,866,0.02156862745098038,0.014447765249286737,0.007120862201693645,1.492869456198092,0.02352941176470585,0.0,1.0
North,spatial_regional,regional_neighbor_pressure_3w,18,866,0.020043572984749444,0.013902096635420866,0.006141476349328578,1.4417661961635944,0.0156862745098039,0.0,1.0
North,spatial_regional,regional_host_pressure,18,866,0.5130553794937758,0.5163066729262341,-0.0032512934324583354,0.993702786342018,0.5150481688151204,0.5157392689447982,1.0
North,spatial_regional,regional_wind_alignment_frequency,18,866,0.002614379084967311,0.0017932346148621047,0.0008211444701052063,1.457912457912458,0.0,0.0,1.0
North,spatial_regional,wind_aligned_neighbor_blast,18,866,0.0,0.0018475750577367203,-0.0018475750577367203,0.0,0.0,0.0,1.0
North,analog,analog_prevweek_blast,18,866,0.0,0.04605375460565501,-0.04605375460565501,0.0,0.0,0.0,1.0
North,analog,analog_outbreak_frequency_train,18,866,0.023416170625023873,0.03483086797215008,-0.011414697347126204,0.6722821447845307,0.0249600786587135,0.022870637448740863,1.0
North,analog,analog_prevweek_risk,18,866,26.596048666854184,24.481292414499283,2.1147562523549013,1.0863825412706731,27.85886302606053,21.3680098740615,1.0
North,analog,analog_2w_pressure,18,866,52.17906545074384,50.09182865259385,2.087236798149995,1.0416682092527663,56.819314163117355,46.19175342975629,1.0
North,analog,analog_leaf_wet_pressure,18,866,27.959708042633267,25.10517357480596,2.854534467827307,1.1137030365204066,28.43721887975001,20.238178088326265,1.0
North,analog,analog_regional_leaf_wet_pressure,18,866,94.20715975241802,81.89290294264164,12.314256809776381,1.150370256362769,103.11764705882352,70.23529411764704,1.0
North,analog,analog_host_pressure,18,866,25.309563049570176,25.104061395689865,0.2055016538803116,1.0081859923237597,24.54588218890828,21.966638261027995,1.0
