model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,calibrator,bin,mean_score,observed_positive_rate
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_global_f1,test,4004,161,0.15000000000000002,0.33668341708542715,0.4161490683229814,0.37222222222222223,0.7934156318740374,0.2504966215649358,3711.0,132.0,94.0,67.0,,,,
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,3600,81,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03650996009586438,0.0225
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,248,18,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.15536710436800238,0.07258064516129033
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,96,31,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.22551278020229915,0.3229166666666667
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,27,12,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.3561253561253561,0.4444444444444444
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,33,19,,,,,,,,,,,isotonic,"(0.4, 0.5]",0.46428571428571397,0.5757575757575758
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,validation,3126,132,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.04222648752399188,0.04222648752399232
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,validation,490,77,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.1571428571428571,0.15714285714285714
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,validation,217,49,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.22580645161290297,0.22580645161290322
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,validation,31,11,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.35483870967741943,0.3548387096774194
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,validation,84,39,,,,,,,,,,,isotonic,"(0.4, 0.5]",0.4642857142857147,0.4642857142857143
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_global_f1,test,4004,161,0.12,0.3350253807106599,0.40993788819875776,0.3687150837988827,0.8028568519353573,0.28182208864152447,3712.0,131.0,95.0,66.0,,,,
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,3760,89,,,,,,,,,,,platt,"(-0.001, 0.1]",0.05353281658630465,0.023670212765957446
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,134,20,,,,,,,,,,,platt,"(0.1, 0.2]",0.13802651381434852,0.14925373134328357
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,51,22,,,,,,,,,,,platt,"(0.2, 0.3]",0.25185482020460775,0.43137254901960786
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,37,16,,,,,,,,,,,platt,"(0.3, 0.4]",0.3370523273684815,0.43243243243243246
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,16,11,,,,,,,,,,,platt,"(0.4, 0.5]",0.4490439285443161,0.6875
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,test,6,3,,,,,,,,,,,platt,"(0.5, 0.6]",0.5324813569912675,0.5
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,3405,176,,,,,,,,,,,platt,"(-0.001, 0.1]",0.05596035927119757,0.05168869309838473
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,299,57,,,,,,,,,,,platt,"(0.1, 0.2]",0.13586232814043253,0.19063545150501673
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,130,26,,,,,,,,,,,platt,"(0.2, 0.3]",0.24382063705142834,0.2
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,64,29,,,,,,,,,,,platt,"(0.3, 0.4]",0.3489725553320118,0.453125
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,41,19,,,,,,,,,,,platt,"(0.4, 0.5]",0.43633119663448094,0.4634146341463415
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_reliability,validation,9,1,,,,,,,,,,,platt,"(0.5, 0.6]",0.5457376608632271,0.1111111111111111
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_global_f1,test,4004,161,0.13,0.36496350364963503,0.3105590062111801,0.33557046979865773,0.7773300814742622,0.22114284038556106,3756.0,87.0,111.0,50.0,,,,
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,test,3722,97,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03315624943190278,0.026061257388500805
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,test,170,21,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.12563642366522595,0.12352941176470589
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,test,94,33,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.2390095989616612,0.35106382978723405
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,test,18,10,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.38888888888888906,0.5555555555555556
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,validation,2977,114,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03829358414511325,0.03829358414511253
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,validation,388,52,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.13402061855670105,0.13402061855670103
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,validation,565,135,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.23893805309734453,0.23893805309734514
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_reliability,validation,18,7,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.38888888888888906,0.3888888888888889
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_global_f1,test,4004,161,0.14,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0,,,,
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,test,3726,98,,,,,,,,,,,platt,"(-0.001, 0.1]",0.0419116345003391,0.026301663982823402
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,test,200,29,,,,,,,,,,,platt,"(0.1, 0.2]",0.12431338618503865,0.145
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,test,53,21,,,,,,,,,,,platt,"(0.2, 0.3]",0.25289922730158915,0.39622641509433965
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,test,23,13,,,,,,,,,,,platt,"(0.3, 0.4]",0.35234300840686766,0.5652173913043478
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,test,2,0,,,,,,,,,,,platt,"(0.4, 0.5]",0.402002984543404,0.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,validation,2980,116,,,,,,,,,,,platt,"(-0.001, 0.1]",0.04519617407179559,0.038926174496644296
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,validation,667,122,,,,,,,,,,,platt,"(0.1, 0.2]",0.143424515773001,0.18290854572713644
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,validation,245,55,,,,,,,,,,,platt,"(0.2, 0.3]",0.24179913190636906,0.22448979591836735
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_reliability,validation,56,15,,,,,,,,,,,platt,"(0.3, 0.4]",0.32877286991738747,0.26785714285714285
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_global_f1,test,4004,161,0.13,0.23708206686930092,0.484472049689441,0.3183673469387755,0.8214992815848127,0.2602102535811567,3592.0,251.0,83.0,78.0,,,,
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,test,3653,83,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03153097850222009,0.02272105119080208
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,test,176,9,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.17867537154264002,0.05113636363636364
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,test,162,62,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.2530818047702669,0.38271604938271603
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,test,13,7,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.33161859041287467,0.5384615384615384
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,validation,3066,108,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.035225048923679225,0.03522504892367906
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,validation,362,66,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.18232044198895095,0.18232044198895028
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,validation,508,130,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.25590551181102256,0.2559055118110236
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_reliability,validation,12,4,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.3333333333333333,0.3333333333333333
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_global_f1,test,4004,161,0.09999999999999999,0.23708206686930092,0.484472049689441,0.3183673469387755,0.8284256444321609,0.3014261093746617,3592.0,251.0,83.0,78.0,,,,
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,3675,83,,,,,,,,,,,platt,"(-0.001, 0.1]",0.0416742942651803,0.022585034013605444
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,220,29,,,,,,,,,,,platt,"(0.1, 0.2]",0.14039292665020703,0.1318181818181818
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,62,21,,,,,,,,,,,platt,"(0.2, 0.3]",0.229856514516946,0.3387096774193548
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,23,14,,,,,,,,,,,platt,"(0.3, 0.4]",0.3340268065330477,0.6086956521739131
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,22,13,,,,,,,,,,,platt,"(0.4, 0.5]",0.4439237510461108,0.5909090909090909
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,test,2,1,,,,,,,,,,,platt,"(0.5, 0.6]",0.5034946306398447,0.5
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,validation,3090,111,,,,,,,,,,,platt,"(-0.001, 0.1]",0.04366739533029584,0.035922330097087375
