model,model_label,sequence_length,policy,region,validation_threshold,validation_precision,validation_recall,validation_f1,validation_false_positive,validation_false_negative,validation_true_positive,validation_true_negative
random_forest_core_no_BUS,Random Forest,0,region_f1_exploratory,Northeast,0.48000000000000004,0.24315068493150685,0.6574074074074074,0.355,221.0,37.0,71.0,703.0
random_forest_core_no_BUS,Random Forest,0,region_f1_exploratory,South,0.5,0.4523809523809524,0.3877551020408163,0.41758241758241765,23.0,30.0,19.0,656.0
random_forest_core_no_BUS,Random Forest,0,region_f1_exploratory,West,0.56,0.8333333333333334,0.4166666666666667,0.5555555555555556,1.0,7.0,5.0,183.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_global_f1,all,0.17,0.3673469387755102,0.4090909090909091,0.3870967741935484,217.0,182.0,126.0,3423.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_global_f1,all,0.24000000000000002,0.3848684210526316,0.37987012987012986,0.3823529411764706,187.0,191.0,117.0,3453.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_global_f1,all,0.18000000000000002,0.35294117647058826,0.37012987012987014,0.3613312202852615,209.0,194.0,114.0,3431.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_global_f1,all,0.14,0.32216494845360827,0.40584415584415584,0.3591954022988506,263.0,183.0,125.0,3377.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_global_f1,all,0.13,0.34972677595628415,0.43537414965986393,0.3878787878787878,238.0,166.0,128.0,3339.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_global_f1,all,0.22,0.3404255319148936,0.43537414965986393,0.382089552238806,248.0,166.0,128.0,3329.0
random_forest_core_no_BUS,Random Forest,0,isotonic_global_f1,all,0.13,0.23357664233576642,0.5194805194805194,0.32225579053373615,525.0,148.0,160.0,3115.0
random_forest_core_no_BUS,Random Forest,0,platt_global_f1,all,0.14,0.2364217252396166,0.4805194805194805,0.316916488222698,478.0,160.0,148.0,3162.0
