model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,bin,mean_score,observed_positive_rate,calibrator
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,validation,111,50,,,,,,,,,,,"(0.4, 0.5]",0.4504504504504494,0.45045045045045046,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,validation,17,9,,,,,,,,,,,"(0.5, 0.6]",0.5294117647058824,0.5294117647058824,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,validation,13,8,,,,,,,,,,,"(0.6, 0.7]",0.6153846153846152,0.6153846153846154,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_global_f1,test,4004,161,0.14,0.36666666666666664,0.3416149068322981,0.35369774919614144,0.7817601737772799,0.2903871400135668,3748.0,95.0,106.0,55.0,,,,
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,3766,95,,,,,,,,,,,"(-0.001, 0.1]",0.05068389645937107,0.025225703664365374,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,153,30,,,,,,,,,,,"(0.1, 0.2]",0.13784946448484184,0.19607843137254902,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,48,15,,,,,,,,,,,"(0.2, 0.3]",0.24747269104645853,0.3125,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,23,10,,,,,,,,,,,"(0.3, 0.4]",0.3461971848082371,0.43478260869565216,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,10,8,,,,,,,,,,,"(0.4, 0.5]",0.43914883482820377,0.8,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,2,1,,,,,,,,,,,"(0.5, 0.6]",0.5140129532126347,0.5,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,test,2,2,,,,,,,,,,,"(0.6, 0.7]",0.6627466421252604,1.0,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,3384,155,,,,,,,,,,,"(-0.001, 0.1]",0.05362701134780723,0.04580378250591016,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,313,57,,,,,,,,,,,"(0.1, 0.2]",0.13884009661779056,0.18210862619808307,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,127,41,,,,,,,,,,,"(0.2, 0.3]",0.23847672060884928,0.3228346456692913,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,60,23,,,,,,,,,,,"(0.3, 0.4]",0.34647909014693473,0.38333333333333336,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,40,20,,,,,,,,,,,"(0.4, 0.5]",0.452312370040756,0.5,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,17,9,,,,,,,,,,,"(0.5, 0.6]",0.5463170296838991,0.5294117647058824,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_reliability,validation,7,3,,,,,,,,,,,"(0.6, 0.7]",0.6591107444215315,0.42857142857142855,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_global_f1,test,3927,160,0.13,0.29292929292929293,0.3625,0.3240223463687151,0.7761298778869127,0.19850262484738493,3627.0,140.0,102.0,58.0,,,,
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,3368,68,,,,,,,,,,,"(-0.001, 0.1]",0.03318389246334144,0.020190023752969122,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,361,34,,,,,,,,,,,"(0.1, 0.2]",0.10995158264948342,0.09418282548476455,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,70,18,,,,,,,,,,,"(0.2, 0.3]",0.2761194029850743,0.2571428571428571,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,109,31,,,,,,,,,,,"(0.3, 0.4]",0.3606976388346229,0.28440366972477066,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,7,3,,,,,,,,,,,"(0.4, 0.5]",0.4090909090909091,0.42857142857142855,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,2,1,,,,,,,,,,,"(0.5, 0.6]",0.5714285714285714,0.5,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,7,3,,,,,,,,,,,"(0.6, 0.7]",0.6153846153846155,0.42857142857142855,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,1,1,,,,,,,,,,,"(0.7, 0.8]",0.7257123625757236,1.0,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,test,2,1,,,,,,,,,,,"(0.9, 1.0]",0.962013082273355,0.5,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,2929,102,,,,,,,,,,,"(-0.001, 0.1]",0.034824172072380026,0.03482417207237965,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,576,64,,,,,,,,,,,"(0.1, 0.2]",0.111111111111112,0.1111111111111111,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,134,37,,,,,,,,,,,"(0.2, 0.3]",0.27611940298507426,0.27611940298507465,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,189,69,,,,,,,,,,,"(0.3, 0.4]",0.3650793650793653,0.36507936507936506,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,22,9,,,,,,,,,,,"(0.4, 0.5]",0.409090909090909,0.4090909090909091,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,7,4,,,,,,,,,,,"(0.5, 0.6]",0.5714285714285713,0.5714285714285714,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,13,8,,,,,,,,,,,"(0.6, 0.7]",0.6153846153846152,0.6153846153846154,isotonic
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_reliability,validation,1,1,,,,,,,,,,,"(0.9, 1.0]",1.0,1.0,isotonic
