province,datetime,year,week,month,blast_t_plus_1,label_observed,score_dnn_core,score_dnn_analog_history,score_rf_all_analog,score_rf_analog_history,score_hybrid_tcn_2w,pred_dnn_core,pred_dnn_analog_history,pred_rf_all_analog,pred_rf_analog_history,pred_hybrid_tcn_2w,missed_by_dnn_core,missed_by_dnn_analog_history,missed_by_rf_all_analog,missed_by_rf_analog_history,missed_by_hybrid_tcn_2w,missed_by_all_available_models,humidity_mean,temperature_mean,rainfall_sum,leaf_wet_hours,leaf_wet_ratio,risk_score,rolling_2w_risk,rolling_3w_risk,rolling_2w_leaf_wet_hours,rolling_3w_leaf_wet_hours,susceptibility_score,host_weighted_risk,host_weighted_rolling_2w,host_weighted_rolling_3w,total_pov_area,pov_variety_count,neighbor_prevweek_blast,neighbor_prevweek_risk,regional_neighbor_pressure_2w,regional_neighbor_pressure_3w,regional_host_pressure,regional_wind_alignment_frequency,wind_aligned_neighbor_blast,analog_prevweek_blast,analog_outbreak_frequency_train,analog_prevweek_risk,analog_2w_pressure,analog_leaf_wet_pressure,analog_regional_leaf_wet_pressure,analog_host_pressure
Lamphun,2022-10-30,2022,43,10,1.0,1,0.0056062922812998,0.0035151175688952,0.0820579936789934,0.0899037159541351,0.0945648550987243,0,0,0,0,0.0,True,True,True,True,True,True,75.6877380952381,26.95654761904762,1.54,32,0.1904761904761904,23.452380952380956,42.91666666666667,75.311876247505,58.0,104.0,0.5,23.452380952380956,42.91666666666667,75.311876247505,,,0.0,22.75459482038429,0.0,0.0,0.5143571159923931,0.0,0.0,0.0,0.0249600786587135,23.50480333007437,53.38802870677961,34.08644490391483,106.6470588235294,29.804875869629136
Lamphun,2022-11-06,2022,44,11,1.0,1,0.0027114914264529,0.002137545030564,0.0909811342646303,0.0970440071567217,0.0300401784479618,0,0,0,0,0.0,True,True,True,True,True,True,71.87263473053892,25.24251497005988,0.0,19,0.1137724550898203,16.197604790419163,39.64998574280011,59.11427145708584,51.0,77.0,0.5,16.197604790419163,39.64998574280011,59.11427145708584,,,0.0,29.12938596491228,0.0,0.0,0.5,0.0,0.0,0.0,0.0249600786587135,29.707515085100752,50.93646646964582,21.523784174784787,83.11764705882351,21.228951384545073
Lamphun,2022-11-13,2022,45,11,1.0,1,0.0040672989562153,0.0026853177696466,0.1603629442690393,0.1654228482978649,0.0328432582318782,0,0,0,0,0.0,True,True,True,True,True,True,71.80178571428571,24.28988095238095,0.0,3,0.0178571428571428,11.279761904761903,27.477366695181068,50.92974764756202,22.0,54.0,0.5,11.279761904761903,27.477366695181068,50.92974764756202,,,0.0,18.528349649906534,0.0294117647058823,0.0196078431372549,0.5,0.0,0.0,0.0,0.0249600786587135,21.228951384545073,36.85223077855601,8.233446562959674,70.23529411764704,15.62327939401094
Lamphun,2022-11-27,2022,47,11,1.0,0,0.0097469603642821,0.0083226161077618,0.1677402820040916,0.1971864259281555,0.0555254779756069,0,0,0,0,0.0,True,True,True,True,True,True,77.48226190476191,26.18809523809524,14.13,40,0.238095238095238,27.32142857142857,53.363095238095234,64.64285714285714,77.0,80.0,0.5,27.32142857142857,53.363095238095234,64.64285714285714,,,0.0,31.207497911445284,0.0588235294117647,0.0588235294117647,0.5,0.0,0.0,0.0,0.0249600786587135,31.713808728969795,66.65411122822589,40.484269101070076,99.58823529411764,34.94030249925609
Lamphun,2022-12-04,2022,48,12,1.0,1,0.0118538690730929,0.0109485266730189,0.1931078629644302,0.2213154255187106,0.1204762086272239,0,0,0,0,0.0,True,True,True,True,True,True,80.57309523809525,25.91428571428572,23.9,60,0.3571428571428571,34.43452380952382,61.75595238095239,87.79761904761905,100.0,137.0,0.5,34.43452380952382,61.75595238095239,87.79761904761905,,,0.0,33.04734766056858,0.0294117647058823,0.0392156862745098,0.5,0.0,0.0,0.0,0.0249600786587135,34.94030249925609,70.5798757976083,45.649128110342055,136.41176470588235,35.639573298352204
Lamphun,2022-12-11,2022,49,12,1.0,1,0.0046892208047211,0.0029539649840444,0.1654004856125127,0.1931428454438811,0.1008521392941474,0,0,0,0,0.0,True,True,True,True,True,True,75.92309523809524,25.713690476190475,0.0,33,0.1964285714285714,22.351190476190474,56.78571428571429,84.10714285714286,93.0,133.0,0.5,22.351190476190474,56.78571428571429,84.10714285714286,,,0.0,35.078007518796994,0.0294117647058823,0.0392156862745098,0.5,0.0,0.0,0.0,0.0249600786587135,35.639573298352204,61.64978426537252,31.330493148024743,131.05882352941177,26.010210967020306
Lamphun,2022-12-18,2022,50,12,1.0,1,0.0063056042417883,0.0040983310900628,0.1935005262188713,0.2124303969437765,0.068218894302845,0,0,0,0,0.0,True,True,True,True,True,True,72.56916666666667,23.21964285714286,0.0,11,0.0654761904761904,10.446428571428571,32.797619047619044,67.23214285714286,44.0,104.0,0.5,10.446428571428571,32.797619047619044,67.23214285714286,,,0.0,25.36712271973466,0.0588235294117647,0.0392156862745098,0.5,0.0,0.0,0.0,0.0249600786587135,26.010210967020306,37.21540457110066,8.771330416817186,93.4705882352941,11.20519360408035
Lamphun,2022-12-25,2022,51,12,1.0,1,0.006274479907006,0.0035712304525077,0.1651276713234118,0.2018787846856713,0.0514266192913055,0,0,0,0,0.0,True,True,True,True,True,True,70.46023952095808,22.38562874251497,0.0,2,0.0119760479041916,4.790419161676647,15.236847733105218,37.58803820929569,13.0,46.0,0.5,4.790419161676647,15.236847733105218,37.58803820929569,,,0.0,11.721177944862156,0.0588235294117647,0.0588235294117647,0.5,0.0,0.0,0.0,0.0249600786587135,11.20519360408035,18.696557035167988,2.0039585677045517,49.88235294117645,7.491363431087632
Nakhon Sawan,2022-01-30,2022,4,1,1.0,1,0.0022289918269962,0.0013365459162741,0.1150436651691165,0.1322684087357347,0.1062965765595436,0,0,0,0,0.0,True,True,True,True,True,True,70.03946428571429,27.610714285714288,0.0,8,0.1428571428571428,18.303571428571427,41.33928571428572,51.96428571428572,21.0,22.0,0.5005512465689457,18.31366120952088,41.362073853698384,51.99293084849344,87801.0,7.0,0.0,16.79664092428147,0.0,0.0,0.5157392216378477,0.0,0.0,0.0,0.01772405198065319,15.994141973017864,24.825563108904756,5.5353592123149244,24.47058823529412,8.533539199141043
Nan,2022-05-01,2022,17,5,1.0,1,0.003202409017831,0.0018426110036671,0.1511285459635519,0.1736023306404538,0.0354311689734458,0,0,0,0,0.0,True,True,True,True,True,True,70.29833333333333,30.1175,14.71,23,0.1916666666666666,22.958333333333336,45.41596045197741,64.65965793096899,49.0,70.0,0.5037546976426375,23.044534933378888,45.58648365162457,64.90243539617614,43905.0,5.0,0.0,23.545479195138263,0.0,0.0,0.5258204720803251,0.0,0.0,0.0,0.021848913091683412,11.77474353078523,19.479675136863197,6.734035315339698,39.53004169611643,7.4845780834417175
Nan,2022-07-24,2022,29,7,1.0,1,0.0030092673841863,0.00224797334522,0.2143222052189731,0.1899479048797233,0.0364659540355205,0,0,0,0,0.0,True,True,True,True,True,True,81.0115,28.473333333333336,82.06,39,0.325,38.41666666666666,74.13095238095238,102.70238095238096,76.0,103.0,0.5037559397432009,38.5609573518013,74.40938377120133,103.08812490672138,89019.0,5.0,0.0,44.51782237803981,0.0,0.0,0.526439773379564,0.0,0.0,0.0,0.021848913091683412,38.61993521292195,77.1469633834891,44.541914944365445,129.18937793526797,37.85774234440298
Nan,2022-07-31,2022,30,7,1.0,1,0.003517652163282,0.0021989922970533,0.2343684227504671,0.2051091697837753,0.0372979864478111,0,0,0,0,0.0,True,True,True,True,True,True,76.93789915966387,29.050420168067227,22.56,37,0.3109243697478991,32.81512605042017,71.23179271708682,106.94607843137256,76.0,113.0,0.5037559397432009,32.93837768653109,71.49933503833238,107.34776145773245,89019.0,5.0,0.0,44.345558204539465,0.0,0.0,0.526439773379564,0.0,0.0,0.0,0.021848913091683412,37.19647270923803,60.93929575519923,25.543944611475276,126.52682581512242,23.081553410796257
Nan,2022-08-07,2022,31,8,1.0,1,0.0185364615172147,0.015470559708774,0.3006039388016483,0.3180760096617712,0.0672121867537498,0,0,0,0,0.0,True,True,True,True,True,True,79.90268292682927,28.192682926829267,38.31,36,0.2926829268292683,33.08943089430894,65.90455694472911,104.32122361139577,73.0,112.0,0.5037565740045079,33.213733790230464,66.1521322901263,104.7131140081328,63888.0,5.0,0.0,34.55386888737463,0.0176470588235294,0.0117647058823529,0.5264395466138834,0.0117647058823529,0.0,0.0,0.021848913091683412,22.67947716966319,60.25059961945511,45.5153774623307,122.26032699767036,37.169072166921566
Nan,2022-08-14,2022,32,8,1.0,1,0.0125868627801537,0.0123497201129794,0.3244681838004224,0.3683384995867779,0.0805541351437568,0,0,0,0,0.0,True,True,True,True,True,True,83.64051282051282,27.035042735042733,128.59,45,0.3846153846153846,46.19658119658119,79.28601209089013,112.10113814131032,81.0,118.0,0.5037565740045079,46.37012207260141,79.58385586283187,112.52225436272772,63888.0,5.0,0.0,42.03754083263707,0.0352941176470588,0.0235294117647058,0.5264395466138834,0.0117647058823529,0.0,0.0,0.021848913091683412,36.48742746212658,84.2672997679791,60.95558951949565,128.60869210070243,47.09822760105752
Nan,2022-08-21,2022,33,8,1.0,1,0.013222025707364,0.0125647233799099,0.3045774371519248,0.3319804763821822,0.099478967487812,0,0,0,0,0.0,True,True,True,True,True,True,85.03932773109244,27.460504201680678,80.05,54,0.453781512605042,50.46218487394958,96.65876607053076,129.7481969648397,99.0,135.0,0.5037565740045079,50.65174980585774,97.02187187845914,130.2356056686896,63888.0,5.0,0.0,50.24583000149875,0.0352941176470588,0.0352941176470588,0.5264395466138834,0.0117647058823529,0.0,0.0,0.021848913091683412,46.2722419553608,86.43444361504707,46.69118078557746,142.25233993677642,39.33621601398956
