analysis,model,split,feature_set,rows,positive_rows,threshold,threshold_source,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,continuous_roc_auc,continuous_pr_auc
bus_rule_baseline,bus_critical_any,full_updated_dataset,BUS_rule,23960,952,0.5,fixed_rule,0.23255813953488372,0.031512605042016806,0.05550416281221092,0.5136048769299095,0.04580931413602829,22909,99,922,30,0.5136048769299095,0.04580931413602829
bus_rule_baseline,bus_critical_ratio_gt_0,full_updated_dataset,BUS_rule,23960,952,0.5,fixed_rule,0.23255813953488372,0.031512605042016806,0.05550416281221092,0.5136048769299095,0.04580931413602829,22909,99,922,30,0.5136117707688082,0.04673895880223518
bus_rule_baseline,avgbus_mean_ge_2_25,full_updated_dataset,BUS_rule,23960,952,0.5,fixed_rule,0.3,0.0063025210084033615,0.01234567901234568,0.50284701850142,0.041373227087162075,22994,14,946,6,0.530612548174694,0.055991009787643875
bus_rule_baseline,avgbus_max_ge_2_25,full_updated_dataset,BUS_rule,23960,952,0.5,fixed_rule,0.23255813953488372,0.031512605042016806,0.05550416281221092,0.5136048769299095,0.04580931413602829,22909,99,922,30,0.5305702492227767,0.05382313966405062
bus_rule_baseline,bus_critical_any,bus_covered_subset,BUS_rule,1562,228,0.5,fixed_rule,0.23255813953488372,0.13157894736842105,0.1680672268907563,0.5286830269075988,0.1573603185822401,1235,99,198,30,0.5286830269075988,0.1573603185822401
bus_rule_baseline,bus_critical_ratio_gt_0,bus_covered_subset,BUS_rule,1562,228,0.5,fixed_rule,0.23255813953488372,0.13157894736842105,0.1680672268907563,0.5286830269075988,0.1573603185822401,1235,99,198,30,0.529179489202767,0.1612419928025426
bus_rule_baseline,avgbus_mean_ge_2_25,bus_covered_subset,BUS_rule,1562,228,0.5,fixed_rule,0.3,0.02631578947368421,0.04838709677419354,0.507910518424998,0.15002021699575444,1320,14,222,6,0.5532348957100398,0.18123585109248064
bus_rule_baseline,avgbus_max_ge_2_25,bus_covered_subset,BUS_rule,1562,228,0.5,fixed_rule,0.23255813953488372,0.13157894736842105,0.1680672268907563,0.5286830269075988,0.1573603185822401,1235,99,198,30,0.5501887214287594,0.1721840425062492
