model,feature_set,feature,importance,is_analog_feature
random_forest,core_no_BUS,province_Sing Buri,0.000174435192475002,False
random_forest,core_no_BUS,province_Chiang Rai,0.0001662904281765108,False
random_forest,core_no_BUS,province_Pattani,0.0001556920812676236,False
random_forest,core_no_BUS,province_Buri Ram,0.00014636443756821472,False
random_forest,core_no_BUS,province_Phetchaburi,0.00014004886630153977,False
random_forest,core_no_BUS,province_Samut Prakarn,0.00013506632975142718,False
random_forest,core_no_BUS,province_Narathiwat,0.00013248195865610098,False
random_forest,core_no_BUS,province_Ratchaburi,0.00012751395221055725,False
random_forest,core_no_BUS,province_Udon Thani,0.00012115464057773076,False
random_forest,core_no_BUS,province_Chai Nat,0.00011665684494531397,False
random_forest,core_no_BUS,province_Nan,0.00011551214559365339,False
random_forest,core_no_BUS,province_Phitsanulok,0.00011191611174120566,False
random_forest,core_no_BUS,province_Chon Buri,0.00010978141641695411,False
random_forest,core_no_BUS,province_Bangkok,9.61840373665823e-05,False
random_forest,core_no_BUS,province_Chanthaburi,9.423642524090196e-05,False
random_forest,core_no_BUS,province_Khon Kaen,9.016887659394699e-05,False
random_forest,core_no_BUS,province_Loei,6.90917937736926e-05,False
random_forest,core_no_BUS,province_Uttaradit,6.792204449511093e-05,False
random_forest,core_no_BUS,province_Prachuap Khiri Khan,6.388597024684962e-05,False
random_forest,core_no_BUS,province_Lop Buri,5.643085504785766e-05,False
random_forest,core_no_BUS,province_Samut Songkhram,5.281025758036919e-05,False
random_forest,core_no_BUS,province_Sa kaeo,5.236943302931864e-05,False
random_forest,core_no_BUS,province_Nong Bua Lam Phu,4.0937640602316234e-05,False
random_forest,core_no_BUS,province_Kanchanaburi,3.409841159730955e-05,False
random_forest,core_no_BUS,province_Pathum Thani,8.924210510609908e-06,False
random_forest,core_plus_all_analog,regional_neighbor_pressure_2w,0.1229281583995113,False
random_forest,core_plus_all_analog,analog_outbreak_frequency_train,0.11631525330880456,True
random_forest,core_plus_all_analog,regional_neighbor_pressure_3w,0.0980483635374124,False
random_forest,core_plus_all_analog,regional_wind_alignment_frequency,0.07770214333325756,False
random_forest,core_plus_all_analog,analog_prevweek_blast,0.07327144969826975,True
random_forest,core_plus_all_analog,susceptibility_score,0.051484936002806986,False
random_forest,core_plus_all_analog,neighbor_prevweek_blast,0.033128827089233426,False
random_forest,core_plus_all_analog,week_sin,0.030334961159921348,False
random_forest,core_plus_all_analog,regional_host_pressure,0.028370381309056593,False
random_forest,core_plus_all_analog,total_pov_area,0.027526930165186557,False
random_forest,core_plus_all_analog,temperature_mean,0.015713305180408227,False
random_forest,core_plus_all_analog,analog_regional_leaf_wet_pressure,0.013440657405405974,True
random_forest,core_plus_all_analog,regional_leaf_wet_accumulation,0.012967370566167955,False
random_forest,core_plus_all_analog,prevailing_wind_direction,0.01212587037684046,False
random_forest,core_plus_all_analog,pov_variety_count,0.011850044003187128,False
random_forest,core_plus_all_analog,week_cos,0.011452698286302333,False
random_forest,core_plus_all_analog,wind_direction_variability,0.011447175357427654,False
random_forest,core_plus_all_analog,mean_wind_speed,0.010798697345122173,False
random_forest,core_plus_all_analog,analog_leaf_wet_pressure,0.010721977229651174,True
random_forest,core_plus_all_analog,rolling_3w_leaf_wet_hours,0.010163686492877052,False
random_forest,core_plus_all_analog,host_weighted_rolling_3w,0.009947933249033715,False
random_forest,core_plus_all_analog,analog_prevweek_risk,0.009940246657937787,True
random_forest,core_plus_all_analog,analog_2w_pressure,0.009683402249017963,True
random_forest,core_plus_all_analog,neighbor_prevweek_risk,0.009512374038489178,False
random_forest,core_plus_all_analog,analog_host_pressure,0.009430150794757291,True
random_forest,core_plus_all_analog,rolling_2w_leaf_wet_hours,0.009307708214935843,False
random_forest,core_plus_all_analog,host_weighted_rolling_2w,0.008865423094923173,False
random_forest,core_plus_all_analog,rolling_2w_risk,0.008321501400833677,False
random_forest,core_plus_all_analog,rolling_3w_risk,0.008274094277605532,False
random_forest,core_plus_all_analog,rainfall_sum,0.008132090873597566,False
random_forest,core_plus_all_analog,humidity_mean,0.008012932457986824,False
random_forest,core_plus_all_analog,max_wind_speed,0.007996231808122572,False
random_forest,core_plus_all_analog,province_Tak,0.007980252115622451,False
random_forest,core_plus_all_analog,wind_aligned_neighbor_blast,0.007887710802995511,False
random_forest,core_plus_all_analog,spatial_host_weather_risk,0.0076380472919574645,False
random_forest,core_plus_all_analog,risk_score,0.007345023641895715,False
random_forest,core_plus_all_analog,host_weighted_risk,0.006935050212541287,False
random_forest,core_plus_all_analog,humid_wind_hours,0.006802083900808877,False
random_forest,core_plus_all_analog,leaf_wet_ratio,0.006174773820356895,False
random_forest,core_plus_all_analog,leaf_wet_hours,0.005916895578246481,False
random_forest,core_plus_all_analog,leaf_wet_wind_hours,0.005527262243858538,False
random_forest,core_plus_all_analog,province_Songkhla,0.004977677319052951,False
random_forest,core_plus_all_analog,region_Northeast,0.003900894658611551,False
random_forest,core_plus_all_analog,region_Central,0.003512197232455825,False
random_forest,core_plus_all_analog,wind_aligned_neighbor_count,0.003123848261825705,False
random_forest,core_plus_all_analog,region_South,0.0030974682766370513,False
random_forest,core_plus_all_analog,province_Phrae,0.002902657174125232,False
random_forest,core_plus_all_analog,province_Phra Nakhon Si Ayutthaya,0.0022805148494445867,False
random_forest,core_plus_all_analog,mean_wind_gust,0.0022598158557023793,False
random_forest,core_plus_all_analog,region_North,0.002086044616017293,False
random_forest,core_plus_all_analog,province_Ubon Ratchathani,0.0017012511366191424,False
random_forest,core_plus_all_analog,province_Rayong,0.0015349449878005288,False
random_forest,core_plus_all_analog,region_East,0.0008381463461012706,False
random_forest,core_plus_all_analog,province_Si Sa Ket,0.0007964617879345349,False
random_forest,core_plus_all_analog,province_Prachin Buri,0.0007938725020118601,False
random_forest,core_plus_all_analog,province_Sukhothai,0.0007818017056173757,False
random_forest,core_plus_all_analog,province_Phichit,0.0007309399106011151,False
random_forest,core_plus_all_analog,province_Bueng Kan,0.0007029868666908057,False
random_forest,core_plus_all_analog,region_West,0.0006606827906483013,False
random_forest,core_plus_all_analog,province_Nakhon Si Thammarat,0.000623733609808221,False
random_forest,core_plus_all_analog,province_Phatthalung,0.0006125990024904904,False
random_forest,core_plus_all_analog,province_Nakhon Pathom,0.000578561640673569,False
random_forest,core_plus_all_analog,province_Chachoengsao,0.0005604488127044135,False
random_forest,core_plus_all_analog,province_Ratchaburi,0.0005547299141000186,False
random_forest,core_plus_all_analog,province_Chiang Mai,0.0005322973973382619,False
random_forest,core_plus_all_analog,province_Mukdahan,0.0005233229603641197,False
random_forest,core_plus_all_analog,province_Maha Sarakham,0.0004783277378871411,False
random_forest,core_plus_all_analog,province_Uthai Thani,0.00047572700616432714,False
random_forest,core_plus_all_analog,province_Surat Thani,0.00046393142864295934,False
random_forest,core_plus_all_analog,province_Nakhon Sawan,0.00043770570731755976,False
random_forest,core_plus_all_analog,province_Roi Et,0.0003501338455453475,False
random_forest,core_plus_all_analog,province_Nakhon Phanom,0.0003406073251048298,False
random_forest,core_plus_all_analog,province_Lop Buri,0.0003141738237820247,False
random_forest,core_plus_all_analog,province_Trat,0.00031312949750108876,False
random_forest,core_plus_all_analog,province_Ang Thong,0.000289324304073383,False
random_forest,core_plus_all_analog,province_Phetchabun,0.00028488564749022384,False
random_forest,core_plus_all_analog,province_Kamphaeng Phet,0.0002832427323120528,False
random_forest,core_plus_all_analog,province_Lamphun,0.0002808070092888692,False
random_forest,core_plus_all_analog,province_Amnat Charoen,0.00027810364357120786,False
random_forest,core_plus_all_analog,province_Mae Hong Son,0.00027762828936272484,False
random_forest,core_plus_all_analog,province_Nakhon Nayok,0.00027582138556349594,False
random_forest,core_plus_all_analog,province_Yasothon,0.00026704469858878537,False
random_forest,core_plus_all_analog,province_Krabi,0.0002602272301436039,False
random_forest,core_plus_all_analog,province_Surin,0.0002586286081253986,False
random_forest,core_plus_all_analog,province_Phayao,0.00022471468997782847,False
random_forest,core_plus_all_analog,province_Suphan Buri,0.0002166776965035517,False
random_forest,core_plus_all_analog,province_Loei,0.00019182193083776982,False
random_forest,core_plus_all_analog,province_Kalasin,0.0001916293247128497,False
random_forest,core_plus_all_analog,province_Nong Khai,0.00018203238738610295,False
random_forest,core_plus_all_analog,province_Sing Buri,0.0001787347927097773,False
random_forest,core_plus_all_analog,province_Lampang,0.00017657153610890368,False
random_forest,core_plus_all_analog,province_Phitsanulok,0.00017582278536248233,False
random_forest,core_plus_all_analog,province_Nonthaburi,0.00015439378927886263,False
random_forest,core_plus_all_analog,province_Saraburi,0.00014445372414028588,False
random_forest,core_plus_all_analog,province_Chaiyaphum,0.00014443605630898665,False
random_forest,core_plus_all_analog,province_Satun,0.00013882307788652876,False
random_forest,core_plus_all_analog,province_Nan,0.0001246538809906682,False
random_forest,core_plus_all_analog,province_Chumphon,0.00011944532859762705,False
random_forest,core_plus_all_analog,province_Chiang Rai,0.00010719832313633954,False
random_forest,core_plus_all_analog,province_Ranong,0.00010439409977279345,False
random_forest,core_plus_all_analog,province_Yala,0.00010296234687648311,False
random_forest,core_plus_all_analog,province_Chon Buri,9.642041199300596e-05,False
random_forest,core_plus_all_analog,province_Narathiwat,8.890340770911057e-05,False
random_forest,core_plus_all_analog,province_Uttaradit,8.563364523103861e-05,False
random_forest,core_plus_all_analog,province_Trang,8.422279593814937e-05,False
random_forest,core_plus_all_analog,province_Sakon Nakhon,8.377357640823359e-05,False
random_forest,core_plus_all_analog,province_Chanthaburi,8.360707439663661e-05,False
random_forest,core_plus_all_analog,province_Bangkok,7.996484803239204e-05,False
random_forest,core_plus_all_analog,province_Phang-nga,7.977825934418905e-05,False
random_forest,core_plus_all_analog,province_Phuket,7.049995443794429e-05,False
random_forest,core_plus_all_analog,province_Pattani,6.785449102176629e-05,False
random_forest,core_plus_all_analog,province_Nakhon Ratchasima,6.606860938620383e-05,False
random_forest,core_plus_all_analog,province_Sa kaeo,6.412381799230443e-05,False
random_forest,core_plus_all_analog,province_Udon Thani,5.43732636663336e-05,False
random_forest,core_plus_all_analog,province_Samut Prakarn,5.431612745282329e-05,False
random_forest,core_plus_all_analog,province_Nong Bua Lam Phu,5.314869517458232e-05,False
random_forest,core_plus_all_analog,province_Samut Sakhon,4.691797344103114e-05,False
random_forest,core_plus_all_analog,province_Buri Ram,3.9784555229120456e-05,False
random_forest,core_plus_all_analog,province_Chai Nat,3.199240993654193e-05,False
random_forest,core_plus_all_analog,province_Kanchanaburi,3.0113186891820428e-05,False
random_forest,core_plus_all_analog,province_Samut Songkhram,2.423045572953385e-05,False
random_forest,core_plus_all_analog,province_Khon Kaen,7.484821248760247e-06,False
random_forest,core_plus_all_analog,province_Phetchaburi,5.2322381190315795e-06,False
random_forest,core_plus_all_analog,province_Pathum Thani,1.3651024150093811e-06,False
random_forest,core_plus_all_analog,province_Prachuap Khiri Khan,6.302291236208809e-20,False
random_forest,core_plus_analog_and_geographic,regional_neighbor_pressure_2w,0.1229281583995113,False
random_forest,core_plus_analog_and_geographic,analog_outbreak_frequency_train,0.11631525330880456,True
random_forest,core_plus_analog_and_geographic,regional_neighbor_pressure_3w,0.0980483635374124,False
random_forest,core_plus_analog_and_geographic,regional_wind_alignment_frequency,0.07770214333325756,False
random_forest,core_plus_analog_and_geographic,analog_prevweek_blast,0.07327144969826975,True
random_forest,core_plus_analog_and_geographic,susceptibility_score,0.051484936002806986,False
random_forest,core_plus_analog_and_geographic,neighbor_prevweek_blast,0.033128827089233426,False
random_forest,core_plus_analog_and_geographic,week_sin,0.030334961159921348,False
random_forest,core_plus_analog_and_geographic,regional_host_pressure,0.028370381309056593,False
random_forest,core_plus_analog_and_geographic,total_pov_area,0.027526930165186557,False
random_forest,core_plus_analog_and_geographic,temperature_mean,0.015713305180408227,False
random_forest,core_plus_analog_and_geographic,analog_regional_leaf_wet_pressure,0.013440657405405974,True
random_forest,core_plus_analog_and_geographic,regional_leaf_wet_accumulation,0.012967370566167955,False
random_forest,core_plus_analog_and_geographic,prevailing_wind_direction,0.01212587037684046,False
random_forest,core_plus_analog_and_geographic,pov_variety_count,0.011850044003187128,False
random_forest,core_plus_analog_and_geographic,week_cos,0.011452698286302333,False
random_forest,core_plus_analog_and_geographic,wind_direction_variability,0.011447175357427654,False
random_forest,core_plus_analog_and_geographic,mean_wind_speed,0.010798697345122173,False
random_forest,core_plus_analog_and_geographic,analog_leaf_wet_pressure,0.010721977229651174,True
random_forest,core_plus_analog_and_geographic,rolling_3w_leaf_wet_hours,0.010163686492877052,False
random_forest,core_plus_analog_and_geographic,host_weighted_rolling_3w,0.009947933249033715,False
random_forest,core_plus_analog_and_geographic,analog_prevweek_risk,0.009940246657937787,True
random_forest,core_plus_analog_and_geographic,analog_2w_pressure,0.009683402249017963,True
random_forest,core_plus_analog_and_geographic,neighbor_prevweek_risk,0.009512374038489178,False
random_forest,core_plus_analog_and_geographic,analog_host_pressure,0.009430150794757291,True
random_forest,core_plus_analog_and_geographic,rolling_2w_leaf_wet_hours,0.009307708214935843,False
random_forest,core_plus_analog_and_geographic,host_weighted_rolling_2w,0.008865423094923173,False
random_forest,core_plus_analog_and_geographic,rolling_2w_risk,0.008321501400833677,False
random_forest,core_plus_analog_and_geographic,rolling_3w_risk,0.008274094277605532,False
random_forest,core_plus_analog_and_geographic,rainfall_sum,0.008132090873597566,False
random_forest,core_plus_analog_and_geographic,humidity_mean,0.008012932457986824,False
random_forest,core_plus_analog_and_geographic,max_wind_speed,0.007996231808122572,False
random_forest,core_plus_analog_and_geographic,province_Tak,0.007980252115622451,False
random_forest,core_plus_analog_and_geographic,wind_aligned_neighbor_blast,0.007887710802995511,False
random_forest,core_plus_analog_and_geographic,spatial_host_weather_risk,0.0076380472919574645,False
random_forest,core_plus_analog_and_geographic,risk_score,0.007345023641895715,False
random_forest,core_plus_analog_and_geographic,host_weighted_risk,0.006935050212541287,False
random_forest,core_plus_analog_and_geographic,humid_wind_hours,0.006802083900808877,False
random_forest,core_plus_analog_and_geographic,leaf_wet_ratio,0.006174773820356895,False
random_forest,core_plus_analog_and_geographic,leaf_wet_hours,0.005916895578246481,False
random_forest,core_plus_analog_and_geographic,leaf_wet_wind_hours,0.005527262243858538,False
random_forest,core_plus_analog_and_geographic,province_Songkhla,0.004977677319052951,False
random_forest,core_plus_analog_and_geographic,region_Northeast,0.003900894658611551,False
random_forest,core_plus_analog_and_geographic,region_Central,0.003512197232455825,False
random_forest,core_plus_analog_and_geographic,wind_aligned_neighbor_count,0.003123848261825705,False
random_forest,core_plus_analog_and_geographic,region_South,0.0030974682766370513,False
random_forest,core_plus_analog_and_geographic,province_Phrae,0.002902657174125232,False
random_forest,core_plus_analog_and_geographic,province_Phra Nakhon Si Ayutthaya,0.0022805148494445867,False
random_forest,core_plus_analog_and_geographic,mean_wind_gust,0.0022598158557023793,False
random_forest,core_plus_analog_and_geographic,region_North,0.002086044616017293,False
random_forest,core_plus_analog_and_geographic,province_Ubon Ratchathani,0.0017012511366191424,False
random_forest,core_plus_analog_and_geographic,province_Rayong,0.0015349449878005288,False
random_forest,core_plus_analog_and_geographic,region_East,0.0008381463461012706,False
random_forest,core_plus_analog_and_geographic,province_Si Sa Ket,0.0007964617879345349,False
random_forest,core_plus_analog_and_geographic,province_Prachin Buri,0.0007938725020118601,False
random_forest,core_plus_analog_and_geographic,province_Sukhothai,0.0007818017056173757,False
random_forest,core_plus_analog_and_geographic,province_Phichit,0.0007309399106011151,False
random_forest,core_plus_analog_and_geographic,province_Bueng Kan,0.0007029868666908057,False
random_forest,core_plus_analog_and_geographic,region_West,0.0006606827906483013,False
random_forest,core_plus_analog_and_geographic,province_Nakhon Si Thammarat,0.000623733609808221,False
random_forest,core_plus_analog_and_geographic,province_Phatthalung,0.0006125990024904904,False
random_forest,core_plus_analog_and_geographic,province_Nakhon Pathom,0.000578561640673569,False
random_forest,core_plus_analog_and_geographic,province_Chachoengsao,0.0005604488127044135,False
random_forest,core_plus_analog_and_geographic,province_Ratchaburi,0.0005547299141000186,False
random_forest,core_plus_analog_and_geographic,province_Chiang Mai,0.0005322973973382619,False
random_forest,core_plus_analog_and_geographic,province_Mukdahan,0.0005233229603641197,False
random_forest,core_plus_analog_and_geographic,province_Maha Sarakham,0.0004783277378871411,False
random_forest,core_plus_analog_and_geographic,province_Uthai Thani,0.00047572700616432714,False
random_forest,core_plus_analog_and_geographic,province_Surat Thani,0.00046393142864295934,False
random_forest,core_plus_analog_and_geographic,province_Nakhon Sawan,0.00043770570731755976,False
random_forest,core_plus_analog_and_geographic,province_Roi Et,0.0003501338455453475,False
