province,datetime,week,month,analog_prevweek_blast,analog_outbreak_frequency_train,analog_prevweek_risk,analog_2w_pressure,analog_leaf_wet_pressure,analog_host_pressure,neighbor_prevweek_blast,neighbor_prevweek_risk,regional_neighbor_pressure_2w,regional_neighbor_pressure_3w,top5_analog_provinces,same_region_rate,mean_analog_distance_km
Lamphun,2022-10-30,43,10,0.0,0.0249600786587135,23.50480333007437,53.38802870677961,34.08644490391483,29.804875869629136,0.0,22.75459482038429,0.0,0.0,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-11-06,44,11,0.0,0.0249600786587135,29.707515085100752,50.93646646964582,21.523784174784787,21.228951384545073,0.0,29.12938596491228,0.0,0.0,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-11-13,45,11,0.0,0.0249600786587135,21.228951384545073,36.85223077855601,8.233446562959674,15.62327939401094,0.0,18.528349649906534,0.0294117647058823,0.0196078431372549,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-11-27,47,11,0.0,0.0249600786587135,31.713808728969795,66.65411122822589,40.484269101070076,34.94030249925609,0.0,31.207497911445284,0.0588235294117647,0.0588235294117647,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-12-04,48,12,0.0,0.0249600786587135,34.94030249925609,70.5798757976083,45.649128110342055,35.639573298352204,0.0,33.04734766056858,0.0294117647058823,0.0392156862745098,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-12-11,49,12,0.0,0.0249600786587135,35.639573298352204,61.64978426537252,31.330493148024743,26.010210967020306,0.0,35.078007518796994,0.0294117647058823,0.0392156862745098,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-12-18,50,12,0.0,0.0249600786587135,26.010210967020306,37.21540457110066,8.771330416817186,11.20519360408035,0.0,25.36712271973466,0.0588235294117647,0.0392156862745098,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Lamphun,2022-12-25,51,12,0.0,0.0249600786587135,11.20519360408035,18.696557035167988,2.0039585677045517,7.491363431087632,0.0,11.721177944862156,0.0588235294117647,0.0588235294117647,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,1.0,130.6860651571802
Nakhon Sawan,2022-01-30,4,1,0.0,0.01772405198065319,15.994141973017864,24.825563108904756,5.5353592123149244,8.533539199141043,0.0,16.79664092428147,0.0,0.0,Phetchabun|Kamphaeng Phet|Phichit|Phitsanulok|Uthai Thani,1.0,94.02192128971015
Nan,2022-05-01,17,5,0.0,0.021848913091683412,11.77474353078523,19.479675136863197,6.734035315339698,7.4845780834417175,0.0,23.545479195138263,0.0,0.0,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-07-24,29,7,0.0,0.021848913091683412,38.61993521292195,77.1469633834891,44.541914944365445,37.85774234440298,0.0,44.51782237803981,0.0,0.0,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-07-31,30,7,0.0,0.021848913091683412,37.19647270923803,60.93929575519923,25.543944611475276,23.081553410796257,0.0,44.345558204539465,0.0,0.0,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-08-07,31,8,0.0,0.021848913091683412,22.67947716966319,60.25059961945511,45.5153774623307,37.169072166921566,0.0,34.55386888737463,0.0176470588235294,0.0117647058823529,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-08-14,32,8,0.0,0.021848913091683412,36.48742746212658,84.2672997679791,60.95558951949565,47.09822760105752,0.0,42.03754083263707,0.0352941176470588,0.0235294117647058,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-08-21,33,8,0.0,0.021848913091683412,46.2722419553608,86.43444361504707,46.69118078557746,39.33621601398956,0.0,50.24583000149875,0.0352941176470588,0.0352941176470588,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Nan,2022-08-28,34,8,0.0,0.021848913091683412,38.61834226895964,80.34392056474141,54.55785572618897,41.00770455075185,0.0,47.897286798702375,0.0352941176470588,0.0352941176470588,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,0.8,215.42680982657816
Phichit,2022-03-13,10,3,0.0,0.025571999179142327,13.203710186011772,27.874329739295682,9.636331330531943,14.331602558269914,0.0,11.404225573944569,0.0,0.0,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani,1.0,89.34259383587123
Phichit,2022-04-24,16,4,0.0,0.025571999179142327,3.9320246378913204,21.688628569957725,11.480300874160754,17.728148515509048,0.0,3.766078359492332,0.0,0.0,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani,1.0,89.34259383587123
