old_source,old_model,updated_model,old_feature_set,old_label_f1,updated_label_f1,f1_delta_updated_minus_old,old_label_precision,updated_label_precision,old_label_recall,updated_label_recall,old_label_roc_auc,updated_label_roc_auc,old_label_pr_auc,updated_label_pr_auc,old_label_false_positive,updated_label_false_positive,old_label_false_negative,updated_label_false_negative,interpretation
old_label_controlled,controlled_xgboost,xgboost_core_no_BUS,core_only,0.282051282051282,0.2318181818181818,-0.05023310023310018,0.2449888641425389,0.17832167832167833,0.3323262839879154,0.33116883116883117,0.7281530032259717,0.6672902989867275,0.2423403698515321,0.1763732838321468,339,470,221,206,"Old-label metric is methodology reference only, not final claim."
old_label_controlled,controlled_dnn_class_weight,dnn_class_weight_core_no_BUS,core_only,0.3771289537712895,0.30837004405286345,-0.06875890971842608,0.3156822810590631,0.28150134048257375,0.4682779456193353,0.3409090909090909,0.7334656152388754,0.6730421364349936,0.2721612111285518,0.20482726885971392,336,268,176,203,"Old-label metric is methodology reference only, not final claim."
old_label_classical,random_forest,random_forest_core_no_BUS,core_only,0.2456839309428951,0.2705167173252279,0.024832786382332828,0.1574468085106383,0.2542857142857143,0.5589123867069486,0.288961038961039,0.7117688224350112,0.6898200014271443,0.203437837843005,0.1870683786235612,990,261,146,219,"Old-label metric is methodology reference only, not final claim."
old_label_classical,xgboost,xgboost_core_no_BUS,core_only,0.2285041224970553,0.2318181818181818,0.0033140593211265224,0.1872586872586872,0.17832167832167833,0.2930513595166163,0.33116883116883117,0.7143180227695565,0.6672902989867275,0.2048327655691794,0.1763732838321468,421,470,234,206,"Old-label metric is methodology reference only, not final claim."
