scope,rows,label_observed_rows,label_observed_rate,positive_rows,positive_rate,provinces
train_2017_2020_north,3604,2074,0.5754716981132075,171,0.0474472807991121,17
train_2017_2020_northeast,4232,2440,0.5765595463137996,269,0.0635633270321361,20
validation_2021_north,893,842,0.9428891377379619,113,0.1265397536394177,17
test_2022_north,901,850,0.9433962264150944,18,0.01997780244173141,17
test_2022_northeast,1060,1000,0.9433962264150944,120,0.11320754716981132,20
