model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_South,728,4,0.19,0.0,0.0,0.0,0.9281767955801106,0.05816378066378067,718,6,4,0,South
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_West,208,2,0.19,0.0,0.0,0.0,0.2184466019417476,0.009122287968441814,206,0,2,0,West
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_Central,728,10,0.26,0.0,0.0,0.0,0.7174094707520892,0.04663404278858371,717,1,10,0,Central
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_East,416,7,0.26,0.5,0.14285714285714285,0.22222222222222224,0.7453719874257771,0.16028115224401576,408,1,6,1,East
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_North,884,18,0.26,0.0,0.0,0.0,0.33307672568642543,0.014788255250075337,865,1,18,0,North
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_Northeast,1040,120,0.26,0.4142857142857143,0.48333333333333334,0.4461538461538461,0.7833242753623189,0.3817943561807117,838,82,62,58,Northeast
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_South,728,4,0.26,0.0,0.0,0.0,0.9281767955801106,0.05816378066378067,723,1,4,0,South
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_West,208,2,0.26,0.0,0.0,0.0,0.2184466019417476,0.009122287968441814,206,0,2,0,West
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_Central,728,10,0.47000000000000003,0.0,0.0,0.0,0.7174094707520892,0.04663404278858371,718,0,10,0,Central
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_East,416,7,0.47000000000000003,0.0,0.0,0.0,0.7453719874257771,0.16028115224401576,409,0,7,0,East
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_North,884,18,0.47000000000000003,0.0,0.0,0.0,0.33307672568642543,0.014788255250075337,866,0,18,0,North
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_Northeast,1040,120,0.47000000000000003,0.5714285714285714,0.13333333333333333,0.21621621621621623,0.7833242753623189,0.3817943561807117,908,12,104,16,Northeast
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_South,728,4,0.47000000000000003,0.0,0.0,0.0,0.9281767955801106,0.05816378066378067,724,0,4,0,South
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test_region_West,208,2,0.47000000000000003,0.0,0.0,0.0,0.2184466019417476,0.009122287968441814,206,0,2,0,West
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test_region_Central,728,10,0.01,0.033816425120772944,0.7,0.06451612903225806,0.7174094707520892,0.04663404278858371,518,200,3,7,Central
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test_region_East,416,7,0.01,0.025547445255474453,1.0,0.0498220640569395,0.7453719874257771,0.16028115224401576,142,267,0,7,East
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test_region_North,884,18,0.01,0.012195121951219513,0.2777777777777778,0.02336448598130841,0.33307672568642543,0.014788255250075337,461,405,13,5,North
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test_region_Northeast,1040,120,0.01,0.1539491298527443,0.9583333333333334,0.26528258362168394,0.7833242753623189,0.3817943561807117,288,632,5,115,Northeast
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test_region_South,728,4,0.01,0.03076923076923077,1.0,0.059701492537313446,0.9281767955801106,0.05816378066378067,598,126,0,4,South
