model,feature_set,region,rows,positive_rows,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
random_forest,core_plus_all_analog,North,884,18,0.0,0.0,0.0,0.5394534257120862,0.022932103798611426,838,28,18,0
random_forest,core_plus_all_analog,Northeast,1040,120,0.34615384615384615,0.6,0.43902439024390244,0.783233695652174,0.39440251108815494,784,136,48,72
random_forest,core_plus_all_analog,South,728,4,0.0,0.0,0.0,0.8805248618784531,0.028093156843156844,711,13,4,0
random_forest,core_plus_all_analog,West,208,2,0.0,0.0,0.0,0.3131067961165048,0.010310290652003142,206,0,2,0
random_forest,core_plus_analog_and_geographic,Central,728,10,0.08695652173913043,0.2,0.12121212121212122,0.7214484679665739,0.08148980903039951,697,21,8,2
random_forest,core_plus_analog_and_geographic,East,416,7,0.09375,0.42857142857142855,0.15384615384615383,0.7586447782046803,0.18468075386076466,380,29,4,3
random_forest,core_plus_analog_and_geographic,North,884,18,0.0,0.0,0.0,0.5394534257120862,0.022932103798611426,838,28,18,0
random_forest,core_plus_analog_and_geographic,Northeast,1040,120,0.34615384615384615,0.6,0.43902439024390244,0.783233695652174,0.39440251108815494,784,136,48,72
random_forest,core_plus_analog_and_geographic,South,728,4,0.0,0.0,0.0,0.8805248618784531,0.028093156843156844,711,13,4,0
random_forest,core_plus_analog_and_geographic,West,208,2,0.0,0.0,0.0,0.3131067961165048,0.010310290652003142,206,0,2,0
random_forest,core_plus_analog_history,Central,728,10,0.07692307692307693,0.2,0.1111111111111111,0.7162952646239554,0.07911458000171628,694,24,8,2
random_forest,core_plus_analog_history,East,416,7,0.075,0.42857142857142855,0.1276595744680851,0.7460705553615089,0.16336461413833825,372,37,4,3
random_forest,core_plus_analog_history,North,884,18,0.0,0.0,0.0,0.562997177315884,0.02464606539174944,830,36,18,0
random_forest,core_plus_analog_history,Northeast,1040,120,0.32456140350877194,0.6166666666666667,0.4252873563218391,0.7845289855072464,0.38682851002217855,766,154,46,74
random_forest,core_plus_analog_history,South,728,4,0.0,0.0,0.0,0.9109116022099447,0.03914953580901857,713,11,4,0
random_forest,core_plus_analog_history,West,208,2,0.0,0.0,0.0,0.3349514563106796,0.010684430512016719,206,0,2,0
random_forest,core_plus_analog_pressure,Central,728,10,0.125,0.2,0.15384615384615385,0.7586350974930363,0.047443603873202664,704,14,8,2
random_forest,core_plus_analog_pressure,East,416,7,0.25,0.42857142857142855,0.3157894736842105,0.701012923506811,0.38647226557464004,400,9,4,3
random_forest,core_plus_analog_pressure,North,884,18,0.0,0.0,0.0,0.527264562483962,0.026192860686242676,861,5,18,0
random_forest,core_plus_analog_pressure,Northeast,1040,120,0.3464052287581699,0.44166666666666665,0.3882783882783883,0.7267934782608695,0.33303713746526387,820,100,67,53
random_forest,core_plus_analog_pressure,South,728,4,0.0,0.0,0.0,0.7748618784530386,0.017692964226093066,722,2,4,0
random_forest,core_plus_analog_pressure,West,208,2,0.0,0.0,0.0,0.4004854368932039,0.011884169389454802,205,1,2,0
random_forest,core_plus_geographic_pressure_only,Central,728,10,0.07142857142857142,0.1,0.08333333333333333,0.7416434540389971,0.04277197549597929,705,13,9,1
random_forest,core_plus_geographic_pressure_only,East,416,7,0.3,0.42857142857142855,0.3529411764705882,0.703807195249738,0.37245568867769074,402,7,4,3
random_forest,core_plus_geographic_pressure_only,North,884,18,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0
random_forest,core_plus_geographic_pressure_only,Northeast,1040,120,0.41025641025641024,0.4,0.4050632911392405,0.718179347826087,0.32356293953970205,851,69,72,48
random_forest,core_plus_geographic_pressure_only,South,728,4,0.0,0.0,0.0,0.7907458563535912,0.01738394637491023,723,1,4,0
random_forest,core_plus_geographic_pressure_only,West,208,2,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,206,0,2,0
